,cds_code,charter_number,school_name,charter_authorizer,located_within_district,county,afilliated_organization,new_in_2015-16,site_type,start_type
0,12630320124289,1303,South Bay Charter,South Bay Union Elementary,South Bay Union Elementary School District,Humboldt,,,Combination,Start up
1,12626796120562,466,Coastal Grove Charter,Arcata Elementary,Arcata Elementary School District,Humboldt,,,Combination,Start up
2,12629271230150,277,Pacific View Charter,Loleta Union Elementary,Loleta Union Elementary School District,Humboldt,,,Combination,Start up
3,23655650123737,1275,Three Rivers Charter,Fort Bragg Unified,Fort Bragg Unified School District,Mendocino,,,Combination,Start up
4,44698074430179,25,SLVUSD Charter,San Lorenzo Valley Unified,San Lorenzo Valley Unified School District,Santa Cruz,,,Combination,Start up
5,49706150127662,1511,Stony Point Academy,Bellevue Union Elementary,Bellevue Union Elementary School District,Sonoma,,,Combination,Start up
6,49706156051593,1368,Kawana Elementary,Bellevue Union Elementary,Bellevue Union Elementary School District,Sonoma,,,Combination,Conversion
7,19753090129411,1636,SCALE Leadership Academy,Acton-Agua Dulce Unified,Acton-Agua Dulce Unified School District,Los Angeles,,,Combination,Start up
8,19643520128496,1557,New Opportunities Charter,Centinela Valley Union High,Centinela Valley Union High School District,Los Angeles,,,Combination,Start up
9,19643520128488,1558,Family First Charter,Centinela Valley Union High,Centinela Valley Union High School District,Los Angeles,,,Combination,Start up
10,19642460126003,1415,Academies of the Antelope Valley,Antelope Valley Union High,Antelope Valley Union High School District,Los Angeles,,,Combination,Start up
11,42692600116434,967,Orcutt Academy Charter,Orcutt Union Elementary,Orcutt Union Elementary School District,Santa Barbara,,,Combination,Start up
12,42767866111603,20,Santa Barbara Charter,Santa Barbara Unified,Santa Barbara Unified School District,Santa Barbara,Santa Barbara Charter Schools,,Combination,Start up
13,3100330129692,1662,Shenandoah Valley,Amador County Office of Education,Amador County Unified School District,Amador,,,Combination,Start up
14,4614570125252,1364,Pivot Charter School North Valley,Golden Feather Union Elementary,Golden Feather Union Elementary School District,Butte,Pivot Online Public Charter Schools,,Combination,Start up
15,4100410430090,110,Learning Community Charter,Butte County Office of Education,Oroville Union High School District,Butte,Learning Community Charter Schools,,Combination,Conversion
16,9737830121566,1176,American River Charter,Black Oak Mine Unified,Black Oak Mine Unified School District,El Dorado,,,Combination,Start up
17,9100900930123,5,Charter Community School Home Study Academy,El Dorado County Office of Education,El Dorado Union High School District,El Dorado,El Dorado County Office of Education,,Combination,Conversion
18,10621661030840,378,Carter G. Woodson Public Charter,Fresno Unified,Fresno Unified School District (FUSD),Fresno,Agape' General Fund,,Combination,Start up
19,10767781030774,270,W. E. B. DuBois Public Charter,Washington Unified,Washington Unified School District (WUSD),Fresno,Agape' General Fund,,Combination,Start up
20,10624141030766,257,Hallmark Charter,Sanger Unified,Sanger Unified School District,Fresno,,,Combination,Start up
21,10621661030642,149,School of Unlimited Learning,Fresno Unified,Fresno Unified School District (FUSD),Fresno,,,Combination,Start up
22,18750360121657,1185,Mt. Lassen Charter,Fort Sage Unified,Fort Sage Unified School District,Lassen,,,Combination,Start up
23,18641626010763,1549,Long Valley Charter,Ravendale-Termo Elementary,Ravendale-Termo Elementary School District,Lassen,Long Valley Charter School,,Combination,Conversion
24,20651850129015,1610,Yosemite-Wawona Elementary Charter,Bass Lake Joint Union Elementary,Bass Lake Joint Union Elementary School District,Madera,,,Combination,Start up
25,29663406112593,69,Nevada City Charter,Nevada City Elementary,Nevada City Elementary School District,Nevada,,,Combination,Start up
26,31667876031033,1226,EV Cain 21st Century STEM Charter,Auburn Union Elementary,Auburn Union Elementary School District,Placer,,,Combination,Start up
27,34673220127860,1527,Alpha Charter,Elverta Joint Elementary,Elverta Joint Elementary School District,Sacramento,,,Combination,Start up
28,34752833430659,19,Natomas Charter,Natomas Unified,Natomas Unified School District,Sacramento,,,Combination,Start up
29,39686270129908,1645,Delta Keys,New Jerusalem Elementary,New Jerusalem Elementary School District,San Joaquin,California Academies of Arts & Sciences,,Combination,Start up
30,39685930126094,1408,Manteca Unified Vocational Academy,Manteca Unified,Manteca Unified School District,San Joaquin,,,Combination,Start up
31,50105040129023,1607,Stanislaus Alternative Charter,Stanislaus County Office of Education,Modesto City High School District,Stanislaus,,,Combination,Start up
32,50757390124669,1309,eCademy Charter at Crane,Turlock Unified,Turlock Unified School District,Stanislaus,,,Combination,Conversion
33,54718370122705,1228,Burton Pathways Charter Academy,Burton Elementary,Burton Elementary School District,Tulare,,,Combination,Start up
34,58105875830112,92,Yuba County Career Preparatory Charter,Yuba County Office of Education,Marysville Joint Unified School District,Yuba,,,Combination,Start up
35,30664640124743,1324,Oxford Preparatory Academy - South Orange County,Capistrano Unified,Capistrano Unified School District,Orange,Oxford Preparatory Academies,,Combination,Start up
36,33671570125245,1363,Pivot Charter School Riverside County,Nuview Union,Nuview Union Elementary School District,Riverside,Pivot Online Public Charter Schools,,Combination,Start up
37,33671160109843,730,Santa Rosa Academy,Menifee Union Elementary,Menifee Union Elementary School District,Riverside,,,Combination,Start up
38,36679343630761,74,Excelsior Charter,Victor Valley Union High,Victor Valley Union High School District,San Bernardino,,,Combination,Start up
39,37682130127068,1452,Academy of Arts and Sciences: Del Mar Elementary (K-5),Mountain Empire Unified,Mountain Empire Unified School District,San Diego,California Academies of Arts & Sciences,,Combination,Start up
40,37682130127084,1454,Academy of Arts and Sciences: Del Mar Middle & High (6-12),Mountain Empire Unified,Mountain Empire Unified School District,San Diego,California Academies of Arts & Sciences,,Combination,Start up
41,37682130123224,1264,San Diego Virtual,Mountain Empire Unified,Mountain Empire Unified School District,San Diego,,,Combination,Start up
42,19753090131987,1699,iLead Charter,Acton-Agua Dulce Unified School District,Acton-Agua Dulce Unified School District,Los Angeles,iLEAD Schools Development,yes,Combination,Start up
43,19753090131557,1697,Method 9-12,Acton-Agua Dulce Unified School District,Acton-Agua Dulce Unified School District,Los Angeles,Method School,yes,Combination,Start up
44,19753090131540,1698,Method School K-8,Acton-Agua Dulce Unified School District,Acton-Agua Dulce Unified School District,Los Angeles,Method School,yes,Combination,Start up
45,34674210132639,1643,National University Academy Robla,Robla Elementary School District,Robla Elementary School District,Sacramento,National University Academies,yes,Combination,Start up
46,12626870107110,642,Six Rivers Charter High,Northern Humboldt Union High,Northern Humboldt Union High School District,Humboldt,,,Combination,Start up
47,49708390120584,1139,Pivot Online Charter - North Bay,Oak Grove Union Elementary,Oak Grove Union Elementary School District,Sonoma,Pivot Online Public Charter Schools,,Combination,Start up
48,10625396112387,44,West Park Charter Academy,West Park Elementary,West Park Elementary School District,Fresno,,,Combination,Conversion
49,50712660120063,1098,Independence Charter,Salida Union Elementary,Salida Union Elementary School District,Stanislaus,,,Combination,Start up
50,36678760107730,677,ASA Charter,San Bernardino City Unified,San Bernardino City Unified School District,San Bernardino,,,Combination,Start up
51,37682130123240,1266,Pivot Charter School - San Diego,Mountain Empire Unified,Mountain Empire Unified School District,San Diego,Pivot Online Public Charter Schools,,Combination,Start up
52,37681890118323,991,National University Academy,Lakeside Union Elementary,Lakeside Union Elementary School District,San Diego,National University Academies,,Combination,Start up
53,40104050101725,566,Grizzly ChalleNGe Charter,San Luis Obispo County Office of Education,San Luis Coastal Unified School District,San Luis Obispo,,,Combination,Start up
54,49708050105890,616,Mark West Charter,Mark West Union Elementary,Mark West Union Elementary School District,Sonoma,,,Combination,Start up
55,10101080119628,1085,Big Picture High School - Fresno,Fresno County Office of Education,Fresno Unified School District (FUSD),Fresno,"Big Picture Schools California, Inc.",,Combination,Start up
56,39685020126011,1416,Escalon Charter Academy,Escalon Unified,Escalon Unified School District,San Joaquin,,,Combination,Start up
57,50105045030234,172,Valley Charter High,Stanislaus County Office of Education,Modesto City High School District,Stanislaus,Stanislaus County Office of Education,,Combination,Start up
58,54718370109009,690,Summit Charter Academy,Burton Elementary,Burton Elementary School District,Tulare,Summit Charter Academies,,Combination,Start up
59,57726940124875,1338,Sacramento Valley Charter,Washington Unified,Washington Unified School District (WUSD),Yolo,,,Combination,Start up
60,33669930127142,1493,Highland Academy,Beaumont Unified,Beaumont Unified School District,Riverside,,,Combination,Start up
61,33671243330685,55,Moreno Valley Community Learning Center,Moreno Valley Unified,Moreno Valley Unified School District,Riverside,,,Combination,Start up
62,36676780121590,1178,Oxford Preparatory Academy - Chino Valley,Chino Valley Unified,Chino Valley Unified School District,San Bernardino,Oxford Preparatory Academies,,Combination,Start up
63,37683380118083,1024,Innovations Academy,San Diego Unified,San Diego Unified School District (SDUSD),San Diego,,,Combination,Start up
64,37684520106120,627,SIATech,Vista Unified,Vista Unified School District,San Diego,School For Integrated Academics & Technologies (SIATech),,Combination,Start up
65,37681063731023,109,Escondido Charter High,Escondido Union High,Escondido Union High School District,San Diego,Escondido Heritage Public Charter Schools,,Combination,Start up
66,20756060132936,1763,Chawanakee Academy,Chawanakee Unified School District,Chawanakee Unified School District,Madera,Chawanakee Unified School District,yes,Ind_Study,Conversion
67,49738820127092,1457,Academy of Arts and Sciences: Sonoma,Cotati-Rohnert Park Unified,Cotati-Rohnert Park Unified School District,Sonoma,California Academies of Arts & Sciences,,Ind_Study,Start up
68,10625470120535,1138,Crescent View South Charter,Westside Elementary,Westside Elementary School District,Fresno,,,Ind_Study,Start up
69,16638750101717,571,Crossroads Charter,Armona Union Elementary,Armona Union Elementary School District,Kings,,,Ind_Study,Start up
70,18641620118067,1032,Juniper Ridge Virtual Academy Charter,Ravendale-Termo Elementary,Ravendale-Termo Elementary School District,Lassen,,,Ind_Study,Start up
71,29102980126227,1428,Twin Ridges Home Study Charter,Nevada County Office of Education,Nevada City Elementary School District,Nevada,,,Ind_Study,Start up
72,31750850128561,1573,Rocklin Independent Charter Academy,Rocklin Unified,Rocklin Unified School District,Placer,,,Ind_Study,Start up
73,34673146112254,27,Elk Grove Charter,Elk Grove Unified,Elk Grove Unified School District,Sacramento,,,Ind_Study,Start up
74,45699550121640,1183,Cottonwood Creek Charter,Cottonwood Union Elementary,Cottonwood Union Elementary School District,Shasta,,,Ind_Study,Start up
75,50757390131185,1695,Fusion Charter,Turlock Unified,Turlock Unified School District,Stanislaus,Aspiranet,,Ind_Study,Start up
76,52105206119671,430,Tehama eLearning Academy,Tehama County Office of Education,Red Bluff Joint Union High School District,Tehama,,,Ind_Study,Start up
77,36675870128462,1520,Taylion High Desert Academy/Adelanto,Adelanto Elementary,Adelanto Elementary School District,San Bernardino,Learning Matters Educational Group (LMEG),,Ind_Study,Start up
78,36678760128405,1574,Center For Learning and Educational Success,San Bernardino City Unified,San Bernardino City Unified School District,San Bernardino,,,Ind_Study,Start up
79,36678763630993,335,Provisional Accelerated Learning Academy,San Bernardino City Unified,San Bernardino City Unified School District,San Bernardino,,,Ind_Study,Start up
80,37680490129221,1617,MethodSchools,Dehesa Elementary,San Diego Unified School District (SDUSD),San Diego,,,Ind_Study,Start up
81,37684370128470,1559,Taylion San Diego Academy,Vallecitos Elementary,Vallecitos Elementary School District,San Diego,Learning Matters Educational Group (LMEG),,Ind_Study,Start up
82,1611760130534,152,Circle of Independent Learning,Fremont Unified,Fremont Unified School District,Alameda,,,Ind_Study,Conversion
83,8100820114116,859,Uncharted Shores Academy,Del Norte County Office of Education,Del Norte County Unified School District,Del Norte,,,Ind_Study,Start up
84,8100820830059,358,Castle Rock,Del Norte County Office of Education,Del Norte County Unified School District,Del Norte,,,Ind_Study,Start up
85,12630320111203,760,Alder Grove Charter,South Bay Union Elementary,South Bay Union Elementary School District,Humboldt,,,Ind_Study,Start up
86,12753821230135,159,Mattole Valley Charter (#159),Mattole Unified,Mattole Unified School District,Humboldt,,,Ind_Study,Start up
87,17640550129601,1653,California Connections Academy @ North Bay,Middletown Unified,Middletown Unified School District,Lake,Connections Academy Headquarters,,Ind_Study,Start up
88,23656230112300,822,La Vida Charter,Willits Unified,Willits Unified School District,Mendocino,,,Ind_Study,Start up
89,27751500118349,1000,Big Sur Charter,Big Sur Unified,Big Sur Unified School District,Monterey,,,Ind_Study,Start up
90,27660922730240,362,Learning for Life Charter,Monterey Peninsula Unified,Monterey Peninsula Unified School District,Monterey,,,Ind_Study,Start up
91,27102722730232,327,Monterey County Home Charter,Monterey County Office of Education,Salinas Union High School District,Monterey,,,Ind_Study,Conversion
92,38684780118141,1028,Five Keys Independence HS (SF Sheriff's),San Francisco Unified,San Francisco Unified School District (SFUSD),San Francisco,Five Keys Public Schools,,Ind_Study,Start up
93,41689160112284,802,California Virtual Academy @ San Mateo,Jefferson Elementary,Jefferson Elementary School District,San Mateo,California Virtual Academies,,Ind_Study,Start up
94,44698070110007,747,Ocean Grove Charter,San Lorenzo Valley Unified,San Lorenzo Valley Unified School District,Santa Cruz,"Innovative Education Management, Inc. (IEM)",,Ind_Study,Start up
95,44697994430229,170,Pacific Coast Charter,Pajaro Valley Unified,Pajaro Valley Unified School District,Santa Cruz,,,Ind_Study,Start up
96,49707970107284,653,California Virtual Academy @ Sonoma,Liberty Elementary,Liberty Elementary School District,Sonoma,California Virtual Academies,,Ind_Study,Start up
97,49707306120588,492,Pathways Charter,Harmony Union Elementary,Harmony Union Elementary School District,Sonoma,,,Ind_Study,Start up
