Id,Id2,Geography,Estimate; Total:,total_below_poverty,under_5_below_poverty,age_5_below_poverty,age_6_to_11_below_poverty,age_12_to_17_below_poverty,age_18_65_below_poverty,total_above_poverty,under_5_above_poverty,age_5_above_poverty,age_6_to_11_above_poverty,age_12_to_17_above_poverty,age_18_65_above_poverty
8600000US89010,89010,ZCTA5 89010,281,91,0,6,8,15,49,190,0,0,8,17,89
8600000US89019,89019,ZCTA5 89019,1876,51,6,0,0,0,35,1825,12,0,0,154,1313
8600000US89060,89060,ZCTA5 89060,10587,2367,205,0,316,372,1231,8220,140,24,435,493,4889
8600000US89061,89061,ZCTA5 89061,4448,621,14,18,63,69,354,3827,166,47,245,329,2273
8600000US89439,89439,ZCTA5 89439,1643,81,40,0,0,0,41,1562,0,0,76,39,955
8600000US90001,90001,ZCTA5 90001,54198,16602,2249,482,2619,2397,8370,37596,3012,523,3617,3794,24205
8600000US90002,90002,ZCTA5 90002,48363,15737,2205,430,2375,2597,7430,32626,2468,545,3248,3692,20317
8600000US90003,90003,ZCTA5 90003,66905,26033,3911,848,3497,3359,13437,40872,3323,488,3551,4551,26052
8600000US90004,90004,ZCTA5 90004,62790,14191,1227,300,1472,1384,8914,48599,2698,467,2043,3211,35615
8600000US90005,90005,ZCTA5 90005,39514,10524,1324,157,1112,1011,5872,28990,1746,256,1423,1491,21462
8600000US90006,90006,ZCTA5 90006,58016,18496,2165,311,2429,2670,9652,39520,2048,416,2182,2122,29532
8600000US90007,90007,ZCTA5 90007,37321,16623,1076,199,1211,995,12440,20698,1150,230,1095,1450,15111
8600000US90008,90008,ZCTA5 90008,33522,8482,919,178,824,1418,4353,25040,1164,265,1066,2017,16200
8600000US90010,90010,ZCTA5 90010,3835,665,48,0,0,0,446,3170,55,0,89,33,2571
8600000US90011,90011,ZCTA5 90011,100103,42456,5252,1172,6449,6369,22170,57647,4325,762,4541,4744,39719
8600000US90012,90012,ZCTA5 90012,21230,7359,311,78,608,535,4110,13871,602,13,381,454,9754
8600000US90013,90013,ZCTA5 90013,8985,4520,37,0,0,18,4099,4465,196,0,14,0,3489
8600000US90014,90014,ZCTA5 90014,5464,2687,18,0,0,26,2096,2777,9,0,11,11,2325
8600000US90015,90015,ZCTA5 90015,17290,6068,526,106,389,535,3886,11222,747,41,620,660,8254
8600000US90016,90016,ZCTA5 90016,46627,10223,994,216,1364,904,6064,36404,2615,413,2369,3082,23882
8600000US90017,90017,ZCTA5 90017,23051,11607,1008,265,1114,1281,7188,11444,556,103,647,517,8647
8600000US90018,90018,ZCTA5 90018,47850,13309,1556,225,1828,1599,7011,34541,2057,329,2219,2490,24058
8600000US90019,90019,ZCTA5 90019,63808,14977,1356,252,1514,1819,8883,48831,2593,374,2969,3317,33936
8600000US90020,90020,ZCTA5 90020,41006,7317,766,174,616,544,4533,33689,1596,158,2043,2407,25007
8600000US90021,90021,ZCTA5 90021,2662,1100,0,0,0,0,941,1562,46,0,24,87,1274
8600000US90022,90022,ZCTA5 90022,68371,17006,2032,403,2348,2215,8988,51365,3603,942,4159,4558,33081
8600000US90023,90023,ZCTA5 90023,45274,14994,1731,275,2033,2127,7911,30280,2042,517,2338,2854,20121
8600000US90024,90024,ZCTA5 90024,36449,11727,39,0,35,89,11089,24722,941,101,834,794,17386
8600000US90025,90025,ZCTA5 90025,42696,4878,122,42,266,290,3818,37818,2082,333,1349,828,28929
8600000US90026,90026,ZCTA5 90026,69082,15043,1506,309,1232,1624,9413,54039,2636,531,3133,3395,39010
8600000US90027,90027,ZCTA5 90027,45102,8924,235,37,414,592,5967,36178,1886,152,1038,1187,26932
8600000US90028,90028,ZCTA5 90028,27824,7948,437,14,218,356,5988,19876,448,82,587,651,16131
8600000US90029,90029,ZCTA5 90029,39046,10369,947,189,1105,932,6390,28677,1108,210,1474,1849,21168
8600000US90031,90031,ZCTA5 90031,39558,12641,1294,196,1453,1708,6925,26917,1581,281,1735,1751,18368
8600000US90032,90032,ZCTA5 90032,47982,9287,1094,266,1017,1124,5126,38695,2142,499,2976,3159,25382
8600000US90033,90033,ZCTA5 90033,47884,16332,2009,274,2082,2169,8761,31552,2235,417,2629,2846,20375
8600000US90034,90034,ZCTA5 90034,58757,9595,842,106,453,468,7209,49162,2577,624,2482,2358,37389
8600000US90035,90035,ZCTA5 90035,30195,2657,52,0,72,68,1770,27538,1823,136,1712,1663,18897
8600000US90036,90036,ZCTA5 90036,35667,4154,168,35,142,83,3350,31513,1644,376,1644,1317,24126
8600000US90037,90037,ZCTA5 90037,60570,24214,3162,471,3293,3115,13037,36356,2188,491,2631,3161,25185
8600000US90038,90038,ZCTA5 90038,30122,7951,753,110,682,728,5168,22171,1066,179,1288,1240,16808
8600000US90039,90039,ZCTA5 90039,28030,3928,211,80,260,330,2631,24102,1250,367,1018,1190,17361
8600000US90040,90040,ZCTA5 90040,12414,1733,130,12,220,203,907,10681,661,179,1048,1001,6601
8600000US90041,90041,ZCTA5 90041,26858,3525,308,14,261,160,2478,23333,1063,192,1288,1768,15573
8600000US90042,90042,ZCTA5 90042,61587,10476,901,165,1378,1071,6323,51111,3287,347,3728,3805,34201
8600000US90043,90043,ZCTA5 90043,43434,9514,775,231,1040,1023,5599,33920,1973,289,2494,2268,21686
8600000US90044,90044,ZCTA5 90044,85575,27753,3861,706,4074,3280,14479,57822,4283,876,4408,5636,37353
8600000US90045,90045,ZCTA5 90045,37195,4348,334,50,291,160,3230,32847,1863,312,2174,2238,22228
8600000US90046,90046,ZCTA5 90046,49819,8131,165,60,170,122,5875,41688,1381,194,966,739,33104
8600000US90047,90047,ZCTA5 90047,47526,9521,939,207,943,1186,5234,38005,1517,329,2977,3685,23929
8600000US90048,90048,ZCTA5 90048,20378,1900,0,0,135,23,1471,18478,999,103,465,295,13645
8600000US90049,90049,ZCTA5 90049,35588,2101,0,50,44,37,1687,33487,1923,345,1812,1676,21453
8600000US90056,90056,ZCTA5 90056,8615,397,14,0,41,59,193,8218,209,75,347,681,5130
8600000US90057,90057,ZCTA5 90057,44001,15529,1608,409,1922,1853,8707,28472,1633,201,1364,1543,21722
8600000US90058,90058,ZCTA5 90058,3289,1745,229,88,266,355,772,1544,78,7,173,78,1112
8600000US90059,90059,ZCTA5 90059,39917,13979,1869,316,2343,2271,6724,25938,1599,565,2574,2967,16527
8600000US90061,90061,ZCTA5 90061,26351,8109,1101,344,1043,1194,4106,18242,1419,132,1713,1847,11315
8600000US90062,90062,ZCTA5 90062,31279,8345,816,218,1045,878,4808,22934,990,265,1698,1911,15509
8600000US90063,90063,ZCTA5 90063,53607,13738,1326,275,2034,1897,7184,39869,2658,477,3186,3891,25901
8600000US90064,90064,ZCTA5 90064,25612,2474,92,0,121,186,1801,23138,1361,396,1481,1486,14917
8600000US90065,90065,ZCTA5 90065,45369,8555,664,119,1159,964,4736,36814,2181,401,2239,2689,24717
8600000US90066,90066,ZCTA5 90066,55886,6631,662,65,201,453,4774,49255,3317,389,2438,2666,34376
8600000US90067,90067,ZCTA5 90067,2241,320,0,0,28,0,161,1921,66,0,96,4,893
8600000US90068,90068,ZCTA5 90068,22261,2488,31,92,30,0,2060,19773,773,61,675,540,15527
8600000US90069,90069,ZCTA5 90069,20328,2210,0,0,26,97,1682,18118,286,35,315,209,14623
8600000US90071,90071,ZCTA5 90071,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90073,90073,ZCTA5 90073,416,328,0,0,0,0,323,88,0,0,0,0,62
8600000US90077,90077,ZCTA5 90077,8082,212,0,37,36,0,95,7870,344,79,658,466,4506
8600000US90079,90079,ZCTA5 90079,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90089,90089,ZCTA5 90089,72,72,0,0,0,0,72,0,0,0,0,0,0
8600000US90090,90090,ZCTA5 90090,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90094,90094,ZCTA5 90094,5536,383,0,0,0,0,335,5153,551,12,168,144,3871
