Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Under 5 years,Income in 1999 below poverty level: - 5 years,Income in 1999 below poverty level: - 6 to 11 years,Income in 1999 below poverty level: - 12 to 17 years,Income in 1999 below poverty level: - 18 to 64 years,Income in 1999 below poverty level: - 65 to 74 years,Income in 1999 below poverty level: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Under 5 years,Income in 1999 at or above poverty level: - 5 years,Income in 1999 at or above poverty level: - 6 to 11 years,Income in 1999 at or above poverty level: - 12 to 17 years,Income in 1999 at or above poverty level: - 18 to 64 years,Income in 1999 at or above poverty level: - 65 to 74 years,Income in 1999 at or above poverty level: - 75 years and over
8600000US89439,89439,ZCTA5 89439,1161,50,0,0,6,6,30,8,0,1111,44,10,38,108,699,142,70
8600000US90001,90001,ZCTA5 90001,54106,20564,2870,668,3523,2732,10053,476,242,33542,3257,558,4027,3479,20029,1111,1081
8600000US90002,90002,ZCTA5 90002,43864,17281,2353,416,3310,2405,8057,422,318,26583,2312,458,3467,2900,15201,1075,1170
8600000US90003,90003,ZCTA5 90003,58346,23503,3376,808,3980,3039,11524,447,329,34843,2955,609,3711,3927,21247,1229,1165
8600000US90004,90004,ZCTA5 90004,67624,18375,1804,345,2357,1749,11517,348,255,49249,3798,830,3760,3114,33715,2281,1751
8600000US90005,90005,ZCTA5 90005,42900,14856,1641,326,1665,1120,9271,423,410,28044,2049,331,2207,1246,19657,1277,1277
8600000US90006,90006,ZCTA5 90006,61901,22997,2897,605,3220,2143,13234,584,314,38904,2804,671,3450,2775,26514,1661,1029
8600000US90007,90007,ZCTA5 90007,38614,15840,1309,301,1294,1246,11024,360,306,22774,1659,292,2227,1729,15105,1053,709
8600000US90008,90008,ZCTA5 90008,30739,7529,647,185,1145,820,4031,384,317,23210,1170,319,1735,1698,14062,2352,1874
8600000US90010,90010,ZCTA5 90010,1876,307,27,15,25,11,203,8,18,1569,47,41,85,62,1069,117,148
8600000US90011,90011,ZCTA5 90011,100680,39357,5503,1305,6599,4710,20110,701,429,61323,5972,1190,6932,6451,37633,1704,1441
8600000US90012,90012,ZCTA5 90012,18349,5195,363,117,551,459,2883,388,434,13154,572,127,690,662,8259,1340,1504
8600000US90013,90013,ZCTA5 90013,9264,5384,40,0,15,132,4850,186,161,3880,65,15,58,29,2841,401,471
8600000US90014,90014,ZCTA5 90014,3587,1518,20,0,0,9,1125,235,129,2069,56,0,38,5,1197,394,379
8600000US90015,90015,ZCTA5 90015,15112,6339,774,196,775,637,3613,178,166,8773,625,166,730,633,5929,421,269
8600000US90016,90016,ZCTA5 90016,46823,11492,1299,410,1568,1379,6034,460,342,35331,2570,514,3435,3003,21660,2095,2054
8600000US90017,90017,ZCTA5 90017,20242,10213,1346,251,1272,875,6056,253,160,10029,755,98,579,718,7015,499,365
8600000US90018,90018,ZCTA5 90018,46178,13709,1456,346,1791,1618,7459,522,517,32469,2355,565,3420,2907,19806,1764,1652
8600000US90019,90019,ZCTA5 90019,67277,15804,1592,330,1921,1635,9264,560,502,51473,3262,591,4318,3750,34221,2763,2568
8600000US90020,90020,ZCTA5 90020,42235,12051,1322,261,1216,846,7977,284,145,30184,2055,459,2191,1301,22130,1300,748
8600000US90021,90021,ZCTA5 90021,2710,1528,47,26,56,19,1369,3,8,1182,7,13,0,25,1035,70,32
8600000US90022,90022,ZCTA5 90022,67990,18327,2279,533,2971,2503,9205,522,314,49663,4187,938,5461,4394,29634,2832,2217
8600000US90023,90023,ZCTA5 90023,47189,14829,2018,329,2452,1617,7808,338,267,32360,2863,724,3577,2957,19620,1600,1019
8600000US90024,90024,ZCTA5 90024,33291,9650,56,8,54,70,9102,145,215,23641,858,173,948,647,16607,2096,2312
8600000US90025,90025,ZCTA5 90025,40428,6114,283,39,319,325,4718,204,226,34314,1157,201,1147,837,26965,1903,2104
8600000US90026,90026,ZCTA5 90026,72651,20019,1888,440,2936,2244,11403,589,519,52632,3589,696,4062,3347,35939,2795,2204
8600000US90027,90027,ZCTA5 90027,48535,10311,605,133,936,1070,6699,465,403,38224,1399,327,1846,1700,27340,3035,2577
8600000US90028,90028,ZCTA5 90028,30025,8550,492,100,891,677,5716,349,325,21475,1004,120,1002,890,16396,1100,963
8600000US90029,90029,ZCTA5 90029,41070,13157,1323,231,1791,1437,7789,303,283,27913,1849,390,2343,1722,18876,1585,1148
8600000US90031,90031,ZCTA5 90031,38356,12529,1518,369,1869,1490,6527,439,317,25827,1888,516,2321,2163,16141,1647,1151
8600000US90032,90032,ZCTA5 90032,45723,9673,1083,193,1339,1298,5180,369,211,36050,2807,629,3580,3162,21995,2202,1675
8600000US90033,90033,ZCTA5 90033,48136,17848,2259,507,2991,2128,9196,403,364,30288,2516,578,3261,2707,18473,1672,1081
8600000US90034,90034,ZCTA5 90034,57720,10608,840,139,1044,691,7382,179,333,47112,2540,435,2993,2656,35198,1788,1502
8600000US90035,90035,ZCTA5 90035,27169,3001,225,52,99,183,1953,225,264,24168,1333,291,1454,1327,16099,1385,2279
8600000US90036,90036,ZCTA5 90036,33226,3360,114,42,117,116,2599,133,239,29866,1334,221,1782,1313,21414,1628,2174
8600000US90037,90037,ZCTA5 90037,56208,22570,2967,598,3359,2704,12068,463,411,33638,2843,598,3545,3422,20482,1503,1245
8600000US90038,90038,ZCTA5 90038,32500,10372,1252,255,1357,731,6426,225,126,22128,1309,305,1497,1408,15924,934,751
8600000US90039,90039,ZCTA5 90039,28944,3569,275,86,305,307,2307,153,136,25375,1434,334,2020,1450,17448,1406,1283
8600000US90040,90040,ZCTA5 90040,9670,1529,205,24,250,144,809,55,42,8141,557,104,908,790,4697,583,502
8600000US90041,90041,ZCTA5 90041,26471,2605,190,54,145,235,1679,180,122,23866,1494,392,2060,1676,15125,1795,1324
8600000US90042,90042,ZCTA5 90042,64005,12199,1343,304,1964,1439,6710,223,216,51806,4296,761,5518,3659,33289,2699,1584
8600000US90043,90043,ZCTA5 90043,44353,9279,1128,220,1313,1146,4897,320,255,35074,2152,565,3160,2877,21352,2968,2000
8600000US90044,90044,ZCTA5 90044,85353,31798,4421,975,5782,3702,15622,670,626,53555,4521,993,6355,5414,31805,2814,1653
8600000US90045,90045,ZCTA5 90045,37009,3664,280,85,322,299,2427,132,119,33345,2151,486,2419,1928,22161,1922,2278
8600000US90046,90046,ZCTA5 90046,49655,6031,181,13,170,161,4616,410,480,43624,1085,190,1249,1302,33066,3330,3402
8600000US90047,90047,ZCTA5 90047,47492,11084,1129,331,1818,1384,5606,475,341,36408,2144,518,3723,3302,22301,2649,1771
8600000US90048,90048,ZCTA5 90048,20867,2062,26,14,28,88,1420,134,352,18805,673,78,515,464,13672,1237,2166
8600000US90049,90049,ZCTA5 90049,33118,1744,29,5,56,14,1342,117,181,31374,1275,242,1610,1408,21236,2828,2775
8600000US90056,90056,ZCTA5 90056,8038,348,8,0,36,26,188,44,46,7690,448,74,513,573,4674,685,723
8600000US90057,90057,ZCTA5 90057,42819,16117,1996,372,2162,1321,9557,348,361,26702,2060,404,1764,1524,18809,1208,933
8600000US90058,90058,ZCTA5 90058,3456,1651,195,75,347,230,765,32,7,1805,196,47,162,147,1110,92,51
8600000US90059,90059,ZCTA5 90059,37399,15637,2268,520,2988,2354,7065,261,181,21762,1836,330,2706,2260,12637,1078,915
8600000US90061,90061,ZCTA5 90061,24359,8151,1030,273,1545,1203,3805,193,102,16208,1319,272,1900,1665,9488,937,627
8600000US90062,90062,ZCTA5 90062,28761,7952,916,201,1162,855,4212,267,339,20809,1524,373,1994,2120,12576,1195,1027
8600000US90063,90063,ZCTA5 90063,55469,15711,2110,576,2198,2074,8134,338,281,39758,3327,660,4306,3743,23837,2212,1673
8600000US90064,90064,ZCTA5 90064,24021,2295,94,34,175,173,1651,75,93,21726,1177,169,1309,1111,14604,1436,1920
8600000US90065,90065,ZCTA5 90065,46858,9407,1043,300,1554,833,5105,312,260,37451,2641,590,3470,2781,24350,2177,1442
8600000US90066,90066,ZCTA5 90066,55323,7702,689,189,815,585,4856,304,264,47621,2681,522,2840,2281,33638,2842,2817
8600000US90067,90067,ZCTA5 90067,2536,220,0,0,8,6,138,18,50,2316,41,0,87,47,963,502,676
8600000US90068,90068,ZCTA5 90068,21507,2520,111,23,121,93,1848,189,135,18987,663,56,550,471,15164,1128,955
8600000US90069,90069,ZCTA5 90069,20398,1963,0,0,16,37,1536,174,200,18435,285,31,308,195,14916,1307,1393
8600000US90071,90071,ZCTA5 90071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90077,90077,ZCTA5 90077,10327,485,29,0,36,28,362,25,5,9842,486,122,744,601,6040,998,851
8600000US900HH,900HH,ZCTA5 900HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90201,90201,ZCTA5 90201,104196,27601,3924,846,4832,3251,13953,473,322,76595,7591,1576,9316,7892,46766,1846,1608
8600000US90210,90210,ZCTA5 90210,21443,1317,38,0,88,89,847,131,124,20126,883,251,1234,1336,12271,2033,2118
8600000US90211,90211,ZCTA5 90211,8413,932,21,22,60,83,642,44,60,7481,325,81,555,714,4738,448,620
8600000US90212,90212,ZCTA5 90212,11289,1171,14,11,143,118,709,99,77,10118,267,80,640,841,6771,684,835
8600000US90220,90220,ZCTA5 90220,46931,11907,1319,402,2296,1530,5698,428,234,35024,2918,613,4139,3764,20064,2203,1323
8600000US90221,90221,ZCTA5 90221,50506,15227,2246,612,2680,1990,7457,162,80,35279,3110,678,4055,4045,21362,1445,584
8600000US90222,90222,ZCTA5 90222,29345,9068,1111,264,1703,1371,4157,233,229,20277,1756,378,2369,2141,11655,1138,840
8600000US90230,90230,ZCTA5 90230,31767,4499,345,123,611,633,2606,114,67,27268,1301,312,2326,1520,17911,2061,1837
