cdscode,zip_5,Id,Id2,Geography,Estimate; Total:,total_below_poverty,under_5_below_poverty,age_5_below_poverty,age_6_to_11_below_poverty,age_12_to_17_below_poverty,age_18_65_below_poverty,total_above_poverty,under_5_above_poverty,age_5_above_poverty,age_6_to_11_above_poverty,age_12_to_17_above_poverty,age_18_65_above_poverty,year
1100170109835,94560,8600000US94560,94560,ZCTA5 94560,44105,3476,281,78,484,305,1886,40629,1919,475,2984,2846,27457,2015
1100170109835,94560,8600000US94560,94560,ZCTA5 94560,43531,3402,247,51,423,370,1957,40129,2048,495,3085,2614,27071,2014
1100170109835,94560,8600000US94560,94560,ZCTA5 94560,43024,3310,293,59,372,367,1875,39714,2313,504,3079,2667,26635,2013
1100170109835,94560,8600000US94560,94560,ZCTA5 94560,42595,3076,189,62,515,245,1784,39519,2436,487,3124,2857,26323,2012
1100170109835,94560,8600000US94560,94560,ZCTA5 94560,42227,2722,179,118,455,160,1564,39505,2671,468,3149,2576,26325,2011
1100170109835,94560,8600000US94560,94560,ZCTA5 94560,42386,2323,188,30,188,272,1412,40063,2728,585,3765,3740,26087,2000
1751190130641,94560,8600000US94560,94560,ZCTA5 94560,44105,3476,281,78,484,305,1886,40629,1919,475,2984,2846,27457,2015
1751190130641,94560,8600000US94560,94560,ZCTA5 94560,43531,3402,247,51,423,370,1957,40129,2048,495,3085,2614,27071,2014
1751190130641,94560,8600000US94560,94560,ZCTA5 94560,43024,3310,293,59,372,367,1875,39714,2313,504,3079,2667,26635,2013
1751190130641,94560,8600000US94560,94560,ZCTA5 94560,42595,3076,189,62,515,245,1784,39519,2436,487,3124,2857,26323,2012
1751190130641,94560,8600000US94560,94560,ZCTA5 94560,42227,2722,179,118,455,160,1564,39505,2671,468,3149,2576,26325,2011
1751190130641,94560,8600000US94560,94560,ZCTA5 94560,42386,2323,188,30,188,272,1412,40063,2728,585,3765,3740,26087,2000
1100170112607,94612,8600000US94612,94612,ZCTA5 94612,14579,4424,83,26,76,85,3130,10155,362,0,257,269,7684,2015
1100170112607,94612,8600000US94612,94612,ZCTA5 94612,14308,4531,116,25,63,53,3182,9777,257,0,244,252,7514,2014
1100170112607,94612,8600000US94612,94612,ZCTA5 94612,13604,4428,144,19,69,40,3206,9176,279,20,212,256,6856,2013
1100170112607,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
1100170112607,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
1100170112607,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
1611920108670,94612,8600000US94612,94612,ZCTA5 94612,14579,4424,83,26,76,85,3130,10155,362,0,257,269,7684,2015
1611920108670,94612,8600000US94612,94612,ZCTA5 94612,14308,4531,116,25,63,53,3182,9777,257,0,244,252,7514,2014
1611920108670,94612,8600000US94612,94612,ZCTA5 94612,13604,4428,144,19,69,40,3206,9176,279,20,212,256,6856,2013
1611920108670,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
1611920108670,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
1611920108670,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
1612590101469,94612,8600000US94612,94612,ZCTA5 94612,14579,4424,83,26,76,85,3130,10155,362,0,257,269,7684,2015
1612590101469,94612,8600000US94612,94612,ZCTA5 94612,14308,4531,116,25,63,53,3182,9777,257,0,244,252,7514,2014
1612590101469,94612,8600000US94612,94612,ZCTA5 94612,13604,4428,144,19,69,40,3206,9176,279,20,212,256,6856,2013
1612590101469,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
1612590101469,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
1612590101469,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
1612590107169,94612,8600000US94612,94612,ZCTA5 94612,14579,4424,83,26,76,85,3130,10155,362,0,257,269,7684,2015
1612590107169,94612,8600000US94612,94612,ZCTA5 94612,14308,4531,116,25,63,53,3182,9777,257,0,244,252,7514,2014
1612590107169,94612,8600000US94612,94612,ZCTA5 94612,13604,4428,144,19,69,40,3206,9176,279,20,212,256,6856,2013
1612590107169,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
1612590107169,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
1612590107169,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
1612590126748,94612,8600000US94612,94612,ZCTA5 94612,14579,4424,83,26,76,85,3130,10155,362,0,257,269,7684,2015
1612590126748,94612,8600000US94612,94612,ZCTA5 94612,14308,4531,116,25,63,53,3182,9777,257,0,244,252,7514,2014
1612590126748,94612,8600000US94612,94612,ZCTA5 94612,13604,4428,144,19,69,40,3206,9176,279,20,212,256,6856,2013
1612590126748,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
1612590126748,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
1612590126748,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
1612593030772,94612,8600000US94612,94612,ZCTA5 94612,14579,4424,83,26,76,85,3130,10155,362,0,257,269,7684,2015
1612593030772,94612,8600000US94612,94612,ZCTA5 94612,14308,4531,116,25,63,53,3182,9777,257,0,244,252,7514,2014
1612593030772,94612,8600000US94612,94612,ZCTA5 94612,13604,4428,144,19,69,40,3206,9176,279,20,212,256,6856,2013
1612593030772,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
1612593030772,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
1612593030772,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
7617960101477,94612,8600000US94612,94612,ZCTA5 94612,14579,4424,83,26,76,85,3130,10155,362,0,257,269,7684,2015
7617960101477,94612,8600000US94612,94612,ZCTA5 94612,14308,4531,116,25,63,53,3182,9777,257,0,244,252,7514,2014
7617960101477,94612,8600000US94612,94612,ZCTA5 94612,13604,4428,144,19,69,40,3206,9176,279,20,212,256,6856,2013
7617960101477,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
7617960101477,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
7617960101477,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
43104390102905,94612,8600000US94612,94612,ZCTA5 94612,14579,4424,83,26,76,85,3130,10155,362,0,257,269,7684,2015
43104390102905,94612,8600000US94612,94612,ZCTA5 94612,14308,4531,116,25,63,53,3182,9777,257,0,244,252,7514,2014
43104390102905,94612,8600000US94612,94612,ZCTA5 94612,13604,4428,144,19,69,40,3206,9176,279,20,212,256,6856,2013
43104390102905,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
43104390102905,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
43104390102905,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,14579,4424,83,26,76,85,3130,10155,362,0,257,269,7684,2015
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,14308,4531,116,25,63,53,3182,9777,257,0,244,252,7514,2014
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,13604,4428,144,19,69,40,3206,9176,279,20,212,256,6856,2013
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,12872,3885,194,22,63,90,2663,8987,321,81,225,289,6557,2012
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,12321,3319,162,32,82,71,2216,9002,308,136,218,240,6311,2011
44698076120976,94612,8600000US94612,94612,ZCTA5 94612,11872,3723,251,17,330,233,2362,8149,308,64,316,261,5468,2000
