ccode,dcode,schoolid,objectcode,restricted,unrestricted,total
36,67686,0100271,1100,5170,327525.38,332695.38
43,69427,4330726,1100,0,906451.0471,906451.0471
49,70912,6116958,1100,3890,101807,105697
33,75192,3330917,1100,0,865938.75,865938.75
30,66670,3030723,1100,0,3799978.48,3799978.48
01,75119,0130641,1100,72911.92,1097246.56,1170158.48
36,67876,3630993,1100,12772,105195,117967
37,68304,3731544,1100,0,106890.02,106890.02
10,62174,1030774,1100,49163.93,367862.91,417026.84
34,67439,0102343,1100,44445.5,242331.35,286776.85
07,61705,6118160,1100,0,1416581.54,1416581.54
33,67249,6114748,1100,0,369265.3,369265.3
09,61945,0930198,1100,0,163247.43,163247.43
18,64204,1830132,1100,47487.61,1419088.8,1466576.41
37,68106,3731023,1100,0,2061064.03,2061064.03
19,75291,1996016,1100,0,859372,859372
50,71134,6119705,1100,12004,792731.18,804735.18
34,67439,0102038,1100,0,3403662.84,3403662.84
38,68478,6112601,1100,0,509507,509507
39,68585,0101956,1100,2475,660547.39,663022.39
01,61259,0130633,1100,0,369756,369756
43,69427,4330601,1100,0,358964.4,358964.4
01,61259,0100123,1100,0,87296,87296
01,61259,3030772,1100,0,616077,616077
10,62166,1030642,1100,119671.1,400302.66,519973.76
10,62166,1030840,1100,27479.72,421211.98,448691.7
01,75622,0130617,1100,18560.85,759477.81,778038.66
01,61259,0130518,1100,18451,510657,529108
01,61259,6111660,1100,0,431817,431817
10,62166,1030667,1100,0,350006.56,350006.56
18,75036,6010763,1100,60744,395902,456646
10,10108,6085112,1100,75995,1481115,1557110
01,61259,6115711,1100,0,71295.71,71295.71
01,61259,6117402,1100,0,536507.78,536507.78
01,61259,6117568,1100,46468.85,763136.73,809605.58
10,62166,6118095,1100,22490.09,106325.61,128815.7
01,61259,0100065,1100,91906.37,133360.35,225266.72
01,61259,6119911,1100,42509,170036,212545
01,75705,0101212,1100,90574,61782,152356
04,10041,6119523,1100,0,107990.34,107990.34
33,67215,6119788,1100,0,349995,349995
23,65557,6116669,1100,0,181993,181993
32,66969,3230083,1100,0,301646.98,301646.98
10,62174,1030865,1100,0,438045,438045
15,63628,6121024,1100,0,1098976,1098976
15,75630,1530500,1100,36110,462250.45,498360.45
19,64857,6119580,1100,0,341200,341200
19,73445,1996271,1100,0,1593886.17,1593886.17
