Ccode,Dcode,SchoolID,ObjectCode,restricted,unrestricted,total
01,10017,0109835,1100,59289,3316884.55,3376173.55
01,10017,0109835,1200,0,0,0
01,10017,0109835,1300,117516.7,222926.46,340443.16
01,10017,0109835,1900,0,0,0
01,10017,0109835,2100,31587.1,240461.9,272049
01,10017,0109835,2200,0,0,0
01,10017,0109835,2300,0,948226.63,948226.63
01,10017,0109835,2400,0,0,0
01,10017,0109835,2900,0,0,0
01,10017,0109835,3101-3102,9695.13,283806.7,293501.83
01,10017,0109835,3201-3202,3607.25,107110.22,110717.47
01,10017,0109835,3301-3302,4120.4,135972.29,140092.69
01,10017,0109835,3401-3402,6648.26,358600.82,365249.08
01,10017,0109835,3501-3502,2400.57,99285.45,101686.02
01,10017,0109835,3601-3602,1699.78,66698.54,68398.32
01,10017,0109835,3701-3702,0,0,0
01,10017,0109835,3751-3752,0,0,0
01,10017,0109835,3801-3802,0,0,0
01,10017,0109835,3901-3902,0,0,0
01,10017,0109835,4100,0,397760.93,397760.93
01,10017,0109835,4200,0,8467.2,8467.2
01,10017,0109835,4300,1092.86,133692.64,134785.5
01,10017,0109835,4400,0,18819.74,18819.74
01,10017,0109835,4700,0,22305.5,22305.5
01,10017,0109835,5100,0,0,0
01,10017,0109835,5200,0,8880.09,8880.09
01,10017,0109835,5300,0,34768.99,34768.99
01,10017,0109835,5400,0,43657.4,43657.4
01,10017,0109835,5500,10798.62,207923.42,218722.04
01,10017,0109835,5600,62407.27,1050761.94,1113169.21
01,10017,0109835,5800,547137.51,2110974.84,2658112.35
01,10017,0109835,5900,5739.23,64357.83,70097.06
01,10017,0109835,6100-6170,0,0,0
01,10017,0109835,6200,0,0,0
01,10017,0109835,6300,0,0,0
01,10017,0109835,6400,0,0,0
01,10017,0109835,6500,0,0,0
01,10017,0109835,6900,0,132550,132550
01,10017,0109835,7110-7143,0,0,0
01,10017,0109835,7211-7213,0,0,0
01,10017,0109835,7221-7223AO,0,0,0
01,10017,0109835,7221-7223SE,0,0,0
01,10017,0109835,7281-7299,0,0,0
01,10017,0109835,7438,0,0,0
01,10017,0109835,7439,0,0,0
01,10017,0109835,7630-7699,0,0,0
01,10017,0109835,8011,0,0,0
01,10017,0109835,8015,0,7903888,7903888
01,10017,0109835,8019,0,0,0
01,10017,0109835,8020-8039,0,0,0
