CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
1.56E+13,Shafter High,S,N,All,1,*,*,100,*,0,*,0,*,0,*,0,1314
1.56E+13,South High,S,N,All,5,315,278,88.25,31,9.8,*,0,*,1.9,*,0,1314
1.56E+13,South High,S,N,All,7,31,27,87.1,*,6.5,*,0,*,6.5,*,0,1314
1.56E+13,Vista Continuation High,S,N,All,5,94,33,35.11,44,46.8,*,0,17,18.1,*,0,1314
1.56E+13,Vista Continuation High,S,N,All,7,17,*,29.41,*,41.2,*,0,*,29.4,*,0,1314
1.56E+13,West High,S,N,All,2,*,*,60,*,40,*,0,*,0,*,0,1314
1.56E+13,West High,S,N,All,9,*,*,100,*,0,*,0,*,0,*,0,1314
1.56E+13,West High,S,N,All,7,88,78,88.64,*,6.8,*,1.1,*,3.4,*,0,1314
1.56E+13,California Virtual Academy High @ Maricopa,S,Y,All,6,15,*,53.33,*,13.3,*,0,*,33.3,*,0,1314
1.56E+13,California Virtual Academy High @ Maricopa,S,Y,All,3,*,*,0,*,0,*,0,*,100,*,0,1314
1.56E+13,Maricopa High,S,N,All,5,*,*,100,*,0,*,0,*,0,*,0,1314
1.56E+13,California City High,S,N,All,2,*,*,100,*,0,*,0,*,0,*,0,1314
1.56E+13,California City High,S,N,All,7,32,25,78.13,*,18.8,*,0,*,3.1,*,0,1314
1.56E+13,Mojave Jr./Sr. High,S,N,All,6,*,*,87.5,*,12.5,*,0,*,0,*,0,1314
1.56E+13,Boron Junior-Senior High,S,N,All,4,*,*,100,*,0,*,0,*,0,*,0,1314
1.56E+13,California Pacific Charter School of Kern,S,Y,All,2,*,*,0,*,50,*,0,*,50,*,0,1314
1.56E+13,California Pacific Charter School of Kern,S,Y,All,5,39,*,23.08,24,61.5,*,0,*,15.4,*,0,1314
1.56E+13,California Pacific Charter School of Kern,S,Y,All,7,43,13,30.23,24,55.8,*,0,*,14,*,0,1314
1.56E+13,Rare Earth High (Continuation),S,N,All,6,*,*,0,*,100,*,0,*,0,*,0,1314
1.56E+13,Abraham Lincoln Alternative,S,N,All,4,*,*,100,*,0,*,0,*,0,*,0,1314
