ccode,dcode,schoolid,objectcode,restricted,unrestricted,total
01,61119,0130625,1200,0,0,0
01,61119,0130625,1300,0,34999.98,34999.98
01,61119,0130625,1900,0,0,0
01,61119,0130625,2100,21900,0,21900
01,61119,0130625,2200,0,28393.42,28393.42
01,61119,0130625,2300,0,48000,48000
01,61119,0130625,2400,0,36201.16,36201.16
01,61119,0130625,2900,0,0,0
01,61119,0130625,3101-3102,0,0,0
01,61119,0130625,3201-3202,0,0,0
01,61119,0130625,3301-3302,1545.08,10478.45,12023.53
01,61119,0130625,3401-3402,4140,14930.04,19070.04
01,61119,0130625,3501-3502,1318.08,4987.66,6305.74
01,61119,0130625,3601-3602,2467.72,16807.66,19275.38
01,61119,0130625,3701-3702,3712.97,25180.78,28893.75
01,61119,0130625,3801-3802,0,0,0
01,61119,0130625,3901-3902,0,0,0
01,61119,0130625,4100,0,12692.87,12692.87
01,61119,0130625,4200,0,4153.61,4153.61
01,61119,0130625,4300,0,43388.52,43388.52
01,61119,0130625,4400,0,2228.85,2228.85
01,61119,0130625,4700,0,6072.67,6072.67
01,61119,0130625,5200,0,5744.92,5744.92
01,61119,0130625,5300,0,1961.4,1961.4
01,61119,0130625,5400,0,2384.64,2384.64
01,61119,0130625,5500,0,15883.77,15883.77
01,61119,0130625,5600,0,3666.72,3666.72
01,61119,0130625,5800,0,44150.27,44150.27
01,61119,0130625,5900,0,6746.19,6746.19
01,61119,0130625,6100-6170,0,0,0
01,61119,0130625,6200,0,0,0
01,61119,0130625,6300,0,0,0
01,61119,0130625,6400,0,0,0
01,61119,0130625,6500,0,0,0
01,61119,0130625,6900,0,0,0
01,61119,0130625,7110-7143,0,0,0
01,61119,0130625,7211-7213,0,0,0
01,61119,0130625,7221-7223AO,0,0,0
01,61119,0130625,7221-7223SE,0,0,0
01,61119,0130625,7280-7299,0,0,0
01,61119,0130625,7438,0,0,0
01,61119,0130625,7439,0,0,0
01,61119,0130625,7630-7699,0,0,0
01,61119,0130625,8011,0,0,0
01,61119,0130625,8015,0,327806.92,327806.92
01,61119,0130625,8019,0,-1934,-1934
01,61119,0130625,8020-8039,0,0,0
01,61119,0130625,8040-8079,0,0,0
01,61119,0130625,8080-8089,0,0,0
01,61119,0130625,"8091, 8097",0,0,0
01,61119,0130625,8092,0,0,0
01,61119,0130625,"8110, 8260-8299",0,0,0
01,61119,0130625,"8181, 8182",0,0,0
01,61119,0130625,8220,0,0,0
01,61119,0130625,8290,2822,0,2822
01,61119,0130625,8480,0,31128,31128
01,61119,0130625,8780,0,172160,172160
01,61119,0130625,8930-8979,0,0,0
