Ccode,Dcode,SchoolID,ObjectCode,restricted,unrestricted,total
01,10017,0109835,1100,351011.63,2840003.15,3191014.78
01,10017,0109835,1200,0,0,0
01,10017,0109835,1300,120864.32,195104.8,315969.12
01,10017,0109835,1900,0,0,0
01,10017,0109835,2100,0,0,0
01,10017,0109835,2200,60632.57,490572.62,551205.19
01,10017,0109835,2300,66232.43,1080828.44,1147060.87
01,10017,0109835,2400,0,0,0
01,10017,0109835,2900,0,0,0
01,10017,0109835,3101-3102,39316.9,253118.11,292435.01
01,10017,0109835,3201-3202,10241.91,126860.37,137102.28
01,10017,0109835,3301-3302,14992.83,147545.93,162538.76
01,10017,0109835,3401-3402,28597.88,220155.16,248753.04
01,10017,0109835,3501-3502,2541.12,19562.3,22103.42
01,10017,0109835,3601-3602,4266.58,32845.39,37111.97
01,10017,0109835,3701-3702,0,0,0
01,10017,0109835,3751-3752,0,0,0
01,10017,0109835,3801-3802,0,0,0
01,10017,0109835,3901-3902,0,0,0
01,10017,0109835,4100,47214.34,542964.97,590179.31
01,10017,0109835,4200,0,0,0
01,10017,0109835,4300,3856.31,73269.85,77126.16
01,10017,0109835,4400,0,8133.65,8133.65
01,10017,0109835,4700,0,7178.72,7178.72
01,10017,0109835,5100,0,0,0
01,10017,0109835,5200,3898.54,74072.17,77970.71
01,10017,0109835,5300,0,5937,5937
01,10017,0109835,5400,3200.16,60802.99,64003.15
01,10017,0109835,5500,11722.02,222718.4,234440.42
01,10017,0109835,5600,53623.61,1018848.55,1072472.16
01,10017,0109835,5800,374335.84,1557569.23,1931905.07
01,10017,0109835,5900,6970.95,62738.52,69709.47
01,10017,0109835,6100-6170,0,0,0
01,10017,0109835,6200,0,0,0
01,10017,0109835,6300,0,0,0
01,10017,0109835,6400,0,0,0
01,10017,0109835,6500,0,0,0
01,10017,0109835,6900,7364.27,139921.19,147285.46
01,10017,0109835,7110-7143,0,0,0
01,10017,0109835,7211-7213,0,0,0
01,10017,0109835,7221-7223AO,0,0,0
01,10017,0109835,7221-7223SE,0,0,0
01,10017,0109835,7281-7299,0,0,0
01,10017,0109835,7438,0,0,0
01,10017,0109835,7439,0,0,0
01,10017,0109835,7630-7699,0,0,0
01,10017,0109835,8011,0,0,0
01,10017,0109835,8015,0,7751090,7751090
01,10017,0109835,8019,0,0,0
01,10017,0109835,8020-8039,0,0,0
01,10017,0109835,8040-8079,0,0,0
01,10017,0109835,8080-8089,0,0,0
01,10017,0109835,"8091, 8097",0,0,0
01,10017,0109835,8092,0,0,0
01,10017,0109835,8096,0,91272,91272
01,10017,0109835,"8110, 8260-8299",73403.19,367639,441042.19
01,10017,0109835,"8181, 8182",0,0,0
01,10017,0109835,8220,0,0,0
01,10017,0109835,8290,0,0,0
01,10017,0109835,8480,0,772315,772315
01,10017,0109835,8930-8979,0,0,0
01,10017,0109835,8980-8999,0,0,0
01,10017,0109835,9110,0,48915.42,48915.42
01,10017,0109835,9111,0,0,0
01,10017,0109835,9120,0,1946147.03,1946147.03
01,10017,0109835,9130,0,0,0
01,10017,0109835,9135,0,0,0
01,10017,0109835,9140,0,0,0
01,10017,0109835,9150,0,0,0
01,10017,0109835,9200,0,3949.83,3949.83
01,10017,0109835,9290,0,1818119.41,1818119.41
01,10017,0109835,9320,0,0,0
01,10017,0109835,9330,0,37054.37,37054.37
01,10017,0109835,9340,0,250550.36,250550.36
01,10017,0109835,9400-9499,0,960433.45,960433.45
01,10017,0109835,9500,0,545986.71,545986.71
01,10017,0109835,9590,0,15679.88,15679.88
01,10017,0109835,9640,0,3575000,3575000
01,10017,0109835,9650,0,0,0
01,10017,0109835,9660-9669,0,0,0
01,10017,0109835,9711,0,0,0
01,10017,0109835,9712,0,0,0
01,10017,0109835,9713,0,37054.37,37054.37
01,10017,0109835,9719,0,0,0
01,10017,0109835,9730,0,0,0
01,10017,0109835,9740,0,0,0
01,10017,0109835,9770,0,0,0
01,10017,0109835,"9775, 9780",0,0,0
01,10017,0109835,9790,0,891448.91,891448.91
01,10017,0109835,9791,-14930.26,423033.82,408103.56
01,10017,0109835,"9793, 9795",338663.02,-446240.37,-107577.35
01,10017,0109835,LocalRevAO,0,37666.78,37666.78
01,10017,0109835,StateRevAO,0,1112478.58,1112478.58
01,10017,0109835,StateRevSE,813748.24,0,813748.24
01,10017,0112607,1100,54497.73,458618.06,513115.79
01,10017,0112607,1200,0,0,0
01,10017,0112607,1300,0,226737.01,226737.01
01,10017,0112607,1900,0,0,0
01,10017,0112607,2100,0,3361.32,3361.32
01,10017,0112607,2200,0,0,0
01,10017,0112607,2300,0,59985.49,59985.49
01,10017,0112607,2400,0,65139.89,65139.89
01,10017,0112607,2900,0,0,0
01,10017,0112607,3101-3102,2053.16,58616.13,60669.29
01,10017,0112607,3201-3202,0,0,0
01,10017,0112607,3301-3302,390.91,20087.48,20478.39
01,10017,0112607,3401-3402,673.53,76878.13,77551.66
01,10017,0112607,3501-3502,193.41,5830.28,6023.69
01,10017,0112607,3601-3602,352.49,11233.38,11585.87
01,10017,0112607,3701-3702,0,0,0
01,10017,0112607,3751-3752,0,0,0
01,10017,0112607,3801-3802,0,0,0
01,10017,0112607,3901-3902,0,0,0
01,10017,0112607,4100,1949,5478.07,7427.07
01,10017,0112607,4200,2167.33,640.15,2807.48
01,10017,0112607,4300,0,27254.13,27254.13
01,10017,0112607,4400,0,9944.52,9944.52
01,10017,0112607,4700,26162.7,4310.06,30472.76
01,10017,0112607,5100,0,0,0
