Ccode,Dcode,SchoolID,ObjectCode,restricted,unrestricted,total,
01,10017,0109835,1100,174507.5,3412718.72,3587226.22,
01,10017,0109835,1200,0,39180,39180,
01,10017,0109835,1300,104767,232890,337657,
01,10017,0109835,1900,0,26575,26575,
01,10017,0109835,2100,0,346305,346305,
01,10017,0109835,2200,0,0,0,
01,10017,0109835,2300,0,162289,162289,
01,10017,0109835,2400,20959.43,305421.52,326380.95,
01,10017,0109835,2900,0,0,0,
01,10017,0109835,3101-3102,20231.55,298419.2,318650.75,
01,10017,0109835,3201-3202,1546.74,83417.36,84964.1,
01,10017,0109835,3301-3302,4511.8,121945.08,126456.88,
01,10017,0109835,3401-3402,28128.86,304759.6,332888.46,
01,10017,0109835,3501-3502,2782.6,75369.34,78151.94,
01,10017,0109835,3601-3602,5035.58,51995.53,57031.11,
01,10017,0109835,3701-3702,0,0,0,
01,10017,0109835,3751-3752,0,0,0,
01,10017,0109835,3801-3802,0,0,0,
01,10017,0109835,3901-3902,0,0,0,
01,10017,0109835,4100,0,361692,361692,
01,10017,0109835,4200,2026.5,1159.99,3186.49,
01,10017,0109835,4300,1478.44,123680.4,125158.84,
01,10017,0109835,4400,0,8548.78,8548.78,
01,10017,0109835,4700,0,39375.4,39375.4,
01,10017,0109835,5100,0,0,0,
01,10017,0109835,5200,39041.25,11616.75,50658,
01,10017,0109835,5300,0,21667.03,21667.03,
01,10017,0109835,5400,0,51464.15,51464.15,
01,10017,0109835,5500,5008.8,284855.6,289864.4,
01,10017,0109835,5600,109464,1022490,1131954,
01,10017,0109835,5800,569806.7,1747758.96,2317565.66,
01,10017,0109835,5900,300,61397.41,61697.41,
01,10017,0109835,6100-6170,0,0,0,
01,10017,0109835,6200,0,0,0,
01,10017,0109835,6300,0,0,0,
01,10017,0109835,6400,0,0,0,
01,10017,0109835,6500,0,0,0,
01,10017,0109835,6900,0,125928.73,125928.73,
01,10017,0109835,7110-7143,0,0,0,
01,10017,0109835,7211-7213,0,0,0,
01,10017,0109835,7221-7223AO,0,0,0,
01,10017,0109835,7221-7223SE,0,0,0,
01,10017,0109835,7281-7299,0,0,0,
01,10017,0109835,7438,0,0,0,
01,10017,0109835,7439,0,0,0,
01,10017,0109835,7630-7699,0,0,0,
01,10017,0109835,8011,0,0,0,
01,10017,0109835,8012,0,1576651,1576651,
01,10017,0109835,8015,0,5670301,5670301,
01,10017,0109835,8019,0,5828,5828,
01,10017,0109835,8020-8039,0,0,0,
01,10017,0109835,8040-8079,0,0,0,
01,10017,0109835,8080-8089,0,0,0,
01,10017,0109835,"8091, 8097",0,0,0,
01,10017,0109835,8092,0,0,0,
01,10017,0109835,8096,0,124350,124350,
01,10017,0109835,"8110, 8260-8299",0,0,0,
01,10017,0109835,"8181, 8182",232468,0,232468,
01,10017,0109835,8220,0,0,0,
01,10017,0109835,8290,50794,0,50794,
01,10017,0109835,8930-8979,0,0,0,
01,10017,0109835,8980-8999,0,0,0,
01,10017,0109835,9110,30664.25,446691.12,477355.37,
01,10017,0109835,9111,0,0,0,
01,10017,0109835,9120,0,0,0,
01,10017,0109835,9130,0,0,0,
01,10017,0109835,9135,0,0,0,
01,10017,0109835,9140,0,0,0,
01,10017,0109835,9150,0,0,0,
01,10017,0109835,9200,0,2465151.85,2465151.85,
01,10017,0109835,9290,0,0,0,
01,10017,0109835,9320,0,0,0,
01,10017,0109835,9330,0,80993.21,80993.21,
01,10017,0109835,9340,0,133352.38,133352.38,
01,10017,0109835,9400-9499,0,457059.5,457059.5,
01,10017,0109835,9500,0,1246779.47,1246779.47,
01,10017,0109835,9590,0,0,0,
01,10017,0109835,9640,0,1840995,1840995,
01,10017,0109835,9650,0,0,0,
01,10017,0109835,9660-9669,0,0,0,
01,10017,0109835,9711,0,0,0,
01,10017,0109835,9712,0,0,0,
01,10017,0109835,9713,0,0,0,
01,10017,0109835,9719,0,0,0,
01,10017,0109835,9740,0,0,0,
01,10017,0109835,9750,0,0,0,
01,10017,0109835,9760,0,0,0,
01,10017,0109835,9780,0,0,0,
01,10017,0109835,9789,0,0,0,
01,10017,0109835,9790A,0,495473.59,495473.59,
01,10017,0109835,9790M,0,0,0,
01,10017,0109835,9791,0,577743.49,577743.49,
