Ccode,Dcode,SchoolID,ObjectCode,restricted,unrestricted,total,Field1
01,10017,0112607,1100,111420,1038074,1149494,
01,10017,0112607,1200,60401,50000,110401,
01,10017,0112607,1300,55159,300858,356017,
01,10017,0112607,1900,0,0,0,
01,10017,0112607,2100,9094,32580,41674,
01,10017,0112607,2200,0,110271,110271,
01,10017,0112607,2300,0,0,0,
01,10017,0112607,2400,0,76482,76482,
01,10017,0112607,2900,0,0,0,
01,10017,0112607,3101-3102,19669,122994,142663,
01,10017,0112607,3201-3202,0,0,0,
01,10017,0112607,3301-3302,3848,35771,39619,
01,10017,0112607,3401-3402,37210,156462,193672,
01,10017,0112607,3501-3502,3197,16356,19553,
01,10017,0112607,3601-3602,3233,16348,19581,
01,10017,0112607,3701-3702,21,983,1004,
01,10017,0112607,3751-3752,0,0,0,
01,10017,0112607,3901-3902,0,-673,-673,
01,10017,0112607,4100,0,2703,2703,
01,10017,0112607,4200,31,8551,8582,
01,10017,0112607,4300,72,39262,39334,
01,10017,0112607,4400,19,33631,33650,
01,10017,0112607,4700,646,7310,7956,
01,10017,0112607,5100,0,0,0,
01,10017,0112607,5200,1505,3137,4642,
01,10017,0112607,5300,99,1006,1105,
01,10017,0112607,5400,1396,25363,26759,
01,10017,0112607,5500,0,107513,107513,
01,10017,0112607,5600,0,345150,345150,
01,10017,0112607,5700-5799,0,0,0,
01,10017,0112607,5800,46710,114143,160853,
01,10017,0112607,5900,447,11712,12159,
01,10017,0112607,6100-6170,0,0,0,
01,10017,0112607,6200,0,0,0,
01,10017,0112607,6300,0,0,0,
01,10017,0112607,6400,0,0,0,
01,10017,0112607,6500,0,0,0,
01,10017,0112607,6900,0,139365,139365,
01,10017,0112607,7110-7143,0,0,0,
01,10017,0112607,7211-7213,0,0,0,
01,10017,0112607,7221-7223AO,0,0,0,
01,10017,0112607,7221-7223SE,0,0,0,
01,10017,0112607,7281-7299,0,0,0,
01,10017,0112607,7300-7399,0,0,0,
01,10017,0112607,7438,0,24835,24835,
01,10017,0112607,7439,0,0,0,
01,10017,0112607,7630-7699,0,525000,525000,
01,10017,0112607,8011,0,1746929,1746929,
01,10017,0112607,8012,0,592242,592242,
01,10017,0112607,8019,0,0,0,
01,10017,0112607,"8091, 8097",0,0,0,
01,10017,0112607,8096,0,653304,653304,
01,10017,0112607,"8110, 8260-8299",108911,0,108911,
01,10017,0112607,"8181, 8182",42541,0,42541,
01,10017,0112607,8220,0,0,0,
01,10017,0112607,8290,0,0,0,
01,10017,0112607,8930-8979,4000,0,4000,
01,10017,0112607,8980-8999,0,0,0,
01,10017,0112607,9110,0,0,0,
01,10017,0112607,9111,0,0,0,
01,10017,0112607,9120,0,111819,111819,
01,10017,0112607,9130,0,0,0,
01,10017,0112607,9135,0,0,0,
01,10017,0112607,9140,0,0,0,
01,10017,0112607,9150,0,0,0,
01,10017,0112607,9200,0,0,0,
01,10017,0112607,9290,0,447225,447225,
01,10017,0112607,9320,0,0,0,
01,10017,0112607,9330,0,3750,3750,
01,10017,0112607,9340,0,3602,3602,
01,10017,0112607,9400-9489,0,306111,306111,
01,10017,0112607,9490,0,0,0,
01,10017,0112607,9500,0,311065,311065,
01,10017,0112607,9590,0,0,0,
01,10017,0112607,9640,0,0,0,
01,10017,0112607,9650,0,117500,117500,
01,10017,0112607,9660-9669,0,332123,332123,
01,10017,0112607,9690,0,0,0,
01,10017,0112607,9711,0,0,0,
01,10017,0112607,9712,0,0,0,
01,10017,0112607,9713,0,0,0,
01,10017,0112607,9719,0,0,0,
01,10017,0112607,9740,0,0,0,
01,10017,0112607,9750,0,0,0,
01,10017,0112607,9760,0,0,0,
01,10017,0112607,9780,0,0,0,
01,10017,0112607,9789,0,0,0,
01,10017,0112607,9790A,0,111819,111819,
01,10017,0112607,9790M,0,0,0,
01,10017,0112607,9791,0,204277,204277,
01,10017,0112607,"9793, 9795",0,-117500,-117500,
01,10017,0112607,9796,0,0,0,
01,10017,0112607,9797,0,0,0,
01,10017,0112607,LocalRevAO,0,54753,54753,
01,10017,0112607,StateRevAO,0,323001,323001,
01,10017,0112607,StateRevSE,198725,0,198725,
01,10017,0118489,1100,119561.89,584081.59,703643.48,
01,10017,0118489,1200,101408,213678.93,315086.93,
01,10017,0118489,1300,46785,58238.96,105023.96,
01,10017,0118489,1900,0,0,0,
01,10017,0118489,2100,59382.29,20283.5,79665.79,
01,10017,0118489,2200,49980.36,23165,73145.36,
01,10017,0118489,2300,0,0,0,
01,10017,0118489,2400,4300.44,48096,52396.44,
01,10017,0118489,2900,21857.69,59614.22,81471.91,
01,10017,0118489,3101-3102,27878.78,71021.25,98900.03,
01,10017,0118489,3201-3202,9851.16,16746.66,26597.82,
01,10017,0118489,3301-3302,11212.86,27601,38813.86,
01,10017,0118489,3401-3402,33291.7,114338.45,147630.15,
01,10017,0118489,3501-3502,0,4253.77,4253.77,
01,10017,0118489,3601-3602,2614.34,10462.98,13077.32,
01,10017,0118489,3701-3702,0,0,0,
01,10017,0118489,3751-3752,0,0,0,
01,10017,0118489,3901-3902,5716.82,15738.94,21455.76,
01,10017,0118489,4100,0,0,0,
01,10017,0118489,4200,9492.14,0,9492.14,
01,10017,0118489,4300,16294.06,55465.91,71759.97,
01,10017,0118489,4400,45427.15,35184.1,80611.25,
01,10017,0118489,4700,36382.67,0,36382.67,
01,10017,0118489,5100,0,0,0,
01,10017,0118489,5200,0,26364.84,26364.84,
01,10017,0118489,5300,0,18473,18473,
01,10017,0118489,5400,0,15286.83,15286.83,
01,10017,0118489,5500,0,27858.5,27858.5,
01,10017,0118489,5600,32434,138891.18,171325.18,
01,10017,0118489,5700-5799,0,0,0,
01,10017,0118489,5800,83002.6,157242.16,240244.76,
01,10017,0118489,5900,0,16015.12,16015.12,
01,10017,0118489,6100-6170,0,0,0,
01,10017,0118489,6200,0,0,0,
01,10017,0118489,6300,0,0,0,
01,10017,0118489,6400,0,0,0,
01,10017,0118489,6500,0,0,0,
01,10017,0118489,6900,0,21401.76,21401.76,
01,10017,0118489,7110-7143,0,0,0,
01,10017,0118489,7211-7213,0,0,0,
01,10017,0118489,7221-7223AO,0,0,0,
01,10017,0118489,7221-7223SE,0,0,0,
01,10017,0118489,7281-7299,28244.79,120737.11,148981.9,
01,10017,0118489,7300-7399,0,0,0,
01,10017,0118489,7438,0,0,0,
01,10017,0118489,7439,0,0,0,
01,10017,0118489,7630-7699,0,0,0,
01,10017,0118489,8011,0,1453062,1453062,
01,10017,0118489,8012,0,348954,348954,
01,10017,0118489,8019,0,1041,1041,
01,10017,0118489,"8091, 8097",0,0,0,
01,10017,0118489,8096,0,-1885.58,-1885.58,
01,10017,0118489,"8110, 8260-8299",224965.23,0,224965.23,
01,10017,0118489,"8181, 8182",67252,0,67252,
01,10017,0118489,8220,37935.12,0,37935.12,
01,10017,0118489,8290,143563,0,143563,
01,10017,0118489,8930-8979,0,0,0,
01,10017,0118489,8980-8999,38486.27,-38486.27,0,
01,10017,0118489,9110,0,0,0,
01,10017,0118489,9111,0,0,0,
01,10017,0118489,9120,55989.91,188352.08,244341.99,
01,10017,0118489,9130,0,0,0,
01,10017,0118489,9135,0,0,0,
01,10017,0118489,9140,0,0,0,
01,10017,0118489,9150,0,0,0,
01,10017,0118489,9200,140984.57,238638.01,379622.58,
01,10017,0118489,9290,0,0,0,
01,10017,0118489,9320,0,0,0,
01,10017,0118489,9330,7613.47,8024.5,15637.97,
01,10017,0118489,9340,0,11000,11000,
01,10017,0118489,9400-9489,30297.68,84708.3,115005.98,
01,10017,0118489,9490,0,0,0,
01,10017,0118489,9500,196974.49,213498.84,410473.33,
01,10017,0118489,9590,0,0,0,
01,10017,0118489,9640,0,0,0,
01,10017,0118489,9650,0,0,0,
01,10017,0118489,9660-9669,0,0,0,
01,10017,0118489,9690,0,0,0,
01,10017,0118489,9711,0,0,0,
01,10017,0118489,9712,0,0,0,
01,10017,0118489,9713,0,0,0,
01,10017,0118489,9719,0,0,0,
