CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3801-3802,3901-3902,4100,4200,4300,4400,4700,5200,5300,5400,5500,5600,5800,5900,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
10041046119523,107990.34,0.0,0.0,0.0,14872.5,1900.0,10675.0,23130.0,11948.75,4748.95,4486.3,6565.86,19709.0,567.53,1763.25,62.85,0.0,0.0,0.0,4050.42,28332.65,10935.86,192.52,6464.72,500.0,2708.1,4949.98,45866.2,29321.71,2562.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114342.79,0.0,0.0,0.0,0.0,0.0,0.0,85325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112509.22,0.0,0.0,0.0,0.0,743.05,9295.0,0.0,3400.0,0.0,0.0,17274.38,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,0.0,11561.6808,0.0,0.0,93711.2092,0.0,71312.12,0.0,21780.1,54587.47,0.0
10108106085112,1557110.0,0.0,171851.0,30020.0,83683.0,138905.0,62889.0,64695.0,0.0,139380.0,18198.0,63982.0,359014.0,12773.0,44175.0,0.0,0.0,0.0,5832.0,1625.0,35296.0,3121.0,0.0,12237.0,0.0,27236.0,109000.0,31499.0,1042282.0,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2295427.0,0.0,0.0,0.0,0.0,0.0,0.0,313627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81000.0,486273.0,0.0
10447444430252,1237139.57,0.0,83608.0,16500.0,0.0,26619.96,0.0,155743.11,22374.0,109772.86,20352.09,32000.51,0.0,4286.69,42231.76,0.0,0.0,8721.24,51956.22,0.0,60317.83,19389.29,0.0,32712.44,4448.85,1319.0,22131.31,172611.48,346238.85,7467.07,0.0,0.0,63425.46,0.0,48676.0,0.0,0.0,0.0,0.0,14931.37,40000.0,0.0,0.0,564062.0,4960.0,0.0,0.0,0.0,0.0,0.0,92663.65,0.0,0.0,0.0,0.0,0.0,561905.13,0.0,220287.41,0.0,0.0,0.0,0.0,74773.0,0.0,0.0,0.0,8029.28,425518.53,79936.94,44740.0,70577.49,22703.97,152799.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919755.89,743251.0,0.0,655307.51,51399.69,149322.0
61119010130625,334798.0,0.0,0.0,0.0,44867.52,0.0,0.0,20000.0,23861.0,0.0,0.0,40023.25,17380.13,10605.0,24291.51,0.0,0.0,0.0,8978.85,10984.92,11912.11,0.0,3009.24,1003.99,4754.37,14223.0,17640.4,9446.61,19417.6,10452.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70562.52,0.0,0.0,0.0,216623.33,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,4273.0,0.0,5613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227283.33,214130.32,0.0,0.0,171975.83,32797.16
61259010100065,225266.72,0.0,85000.08,0.0,0.0,18816.42,0.0,30693.52,9464.0,14730.62,0.0,4294.53,36842.95,549.87,18053.27,0.0,0.0,12827.97,40150.16,2722.74,34515.56,35540.94,0.0,3133.51,1607.88,8419.25,18451.51,99826.76,83476.12,4991.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.95,0.0,0.0,0.0,334806.0,0.0,0.0,0.0,0.0,0.0,0.0,226364.33,0.0,0.0,0.0,19439.0,0.0,0.0,0.0,15998.53,67.58,0.0,0.0,0.0,137584.55,0.0,0.0,4321.44,12410.0,0.0,69604.57,0.0,100000.0,0.0,0.0,67.58,0.0,4321.44,0.0,0.0,0.0,0.0,0.0,-3611.49,-76.34,0.0,0.0,13875.95,0.0
61259010100123,87296.0,0.0,0.0,0.0,0.0,0.0,0.0,28621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10277.0,0.0,0.0,4271.0,0.0,2300.0,201583.0,57691.0,29934.0,3353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28799.0,0.0,0.0,0.0,0.0,0.0
61259010130518,529108.0,0.0,0.0,0.0,0.0,100124.0,177625.0,88220.0,0.0,0.0,0.0,0.0,55797.0,77027.0,45479.0,0.0,0.0,12740.0,11557.0,22942.0,10245.0,2722.0,0.0,58149.0,10171.0,43756.0,58847.0,198172.0,37342.0,19723.0,0.0,0.0,8628.0,0.0,19872.0,0.0,0.0,0.0,0.0,0.0,0.0,223782.0,0.0,753275.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96778.0,316901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45869.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45869.66,0.0,0.0,0.0,53303.0,0.0
61259010130591,638169.0,0.0,0.0,56480.0,95713.0,0.0,137582.0,31443.0,0.0,0.0,0.0,64204.0,82326.0,4199.0,23618.0,0.0,0.0,0.0,71312.0,32181.0,15745.0,11844.0,1896.0,1487.0,3617.0,10172.0,26177.0,178561.0,114663.0,21573.0,21792.0,0.0,54837.0,0.0,0.0,0.0,0.0,0.0,0.0,3173.0,85447.0,0.0,0.0,888951.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,91831.0,0.0,0.0,0.0,0.0,77553.0,0.0,0.0,0.0,0.0,114462.0,0.0,0.0,0.0,0.0,0.0,108681.0,0.0,83334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84812.0,-39119.0,0.0,3613.0,113525.0,0.0
61259010130633,369756.0,0.0,0.0,0.0,83652.0,13503.0,180864.0,29381.0,0.0,0.0,0.0,9820.0,27104.0,2032.0,31176.0,0.0,0.0,53853.0,5668.0,0.0,124686.0,60128.0,0.0,7299.0,4146.0,4499.0,5925.0,216306.0,250052.0,7834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154197.0,0.0,0.0,0.0,0.0,100776.15,0.0,0.0,0.0,0.0,282855.54,0.0,0.0,947.0,40000.0,0.0,101055.98,0.0,0.0,0.0,0.0,0.0,0.0,947.0,0.0,0.0,0.0,0.0,0.0,322575.71,120620.71,0.0,272783.0,436797.0,0.0
61259010130666,874085.91,49653.87,88417.68,0.0,25508.76,4681.67,3916.67,122525.37,88111.4,76129.79,28155.92,34747.4,109625.86,12169.0,58315.55,0.0,0.0,9373.38,0.0,52918.29,60189.34,0.0,8812.96,32366.36,869.2,28131.79,59460.32,14138.96,978870.08,23785.8,0.0,0.0,21749.68,0.0,387297.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037012.0,1839.0,0.0,0.0,0.0,0.0,0.0,280929.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248684.12,0.0,0.0,0.0,0.0,228775.18,0.0,0.0,0.0,0.0,11058276.85,603471.48,0.0,115000.0,96887.46,10720377.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096553.2,1189115.0,0.0,1190603.62,263915.78,0.0
