CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3801-3802,3901-3902,4100,4200,4300,4400,4700,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
10017010109835,1444446.58,0.0,368879.84,0.0,0.0,897290.65,260620.04,0.0,0.0,149846.66,91542.59,113370.55,94359.61,15041.7,87057.25,0.0,0.0,0.0,0.0,0.0,556663.17,61856.89,0.0,57768.05,4650.0,44512.0,126078.93,594173.21,729095.11,38090.81,0.0,0.0,0.0,0.0,0.0,49146.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4172602.0,0.0,0.0,0.0,0.0,0.0,0.0,324000.0,41116.84,0.0,0.0,650973.82,0.0,18121.7,0.0,102580.79,1284.45,0.0,0.0,0.0,3721.28,736060.48,0.0,8638.95,183835.58,232439.77,273462.79,15679.88,750000.0,0.0,0.0,1284.45,0.0,8638.95,0.0,0.0,0.0,173534.7,0.0,64082.23,0.0,0.0,10373.81,110866.6,423390.34
10041046119523,197996.74,0.0,20500.0,0.0,16323.0,0.0,48107.85,1497.5,17653.92,15075.8,5617.28,9141.49,25121.5,993.78,5726.45,0.0,0.0,0.0,0.0,2461.52,18810.1,15762.79,1201.21,6767.17,639.81,6601.83,13844.37,114960.51,27893.11,2187.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278910.0,327.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101308.27,0.0,0.0,242.0,0.0,3167.69,107999.51,0.0,27476.85,0.0,0.0,1167.05,17780.96,0.0,0.0,0.0,0.0,0.0,27476.85,0.0,0.0,0.0,0.0,0.0,193769.61,128323.0,17106.0,74088.52,89886.62,11720.0
10082080109777,96296.32,0.0,0.0,0.0,0.0,0.0,37402.18,0.0,0.0,28384.98,1488.24,28666.39,26447.51,10268.22,0.0,0.0,0.0,0.0,0.0,3583.95,12186.24,12917.3,7832.3,4949.0,1666.1,6913.2,10052.61,10800.0,24871.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7291.29,0.0,0.0,0.0,0.0,0.0,-5132.17,0.0,-9479.12,0.0,0.0,9695.67,0.0,0.0,0.0,34134.85,0.0,26490.23,2729.0,34134.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34134.85,0.0,55576.01,118404.96,540.83,0.0
10108106085112,1659652.0,0.0,113000.0,35013.0,94722.0,112779.0,51500.0,207200.0,0.0,137699.0,27683.0,73017.0,367409.0,12915.0,48538.0,0.0,0.0,0.0,96470.0,812.0,45300.0,158.0,0.0,10787.0,0.0,16315.0,92830.0,37654.0,947152.0,4220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2617089.0,0.0,0.0,0.0,0.0,0.0,0.0,456517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085.0,0.0,2085.0,60000.0,420956.0,0.0
10348340106773,229705.0,0.0,176031.0,0.0,0.0,0.0,15385.0,27829.0,0.0,30694.0,0.0,11277.0,34880.0,7172.0,13264.0,0.0,0.0,4843.0,38090.0,0.0,31730.0,17824.0,0.0,2170.0,300.0,7133.0,54583.0,129411.0,118590.0,5728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660044.0,-15390.0,0.0,0.0,0.0,0.0,0.0,204165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209806.0,0.0,0.0,0.0,0.0,81193.0,0.0,0.0,0.0,0.0,0.0,33575.0,282650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25226.0,-67407.0,0.0,1846.0,102091.0,0.0
10413410110015,666953.33,0.0,385804.61,0.0,0.0,0.0,0.0,30205.69,0.0,75535.73,0.0,26065.99,136654.89,4792.86,33961.41,0.0,0.0,0.0,310.68,19436.07,15906.68,5855.49,0.0,26352.43,2696.74,25392.1,99456.9,18330.94,277760.99,13719.03,0.0,0.0,0.0,0.0,0.0,50601.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61455.0,0.0,0.0,0.0,0.0,0.0,0.0,16844.5,0.0,0.0,37068.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,1261208.19,0.0,4225.94,0.0,0.0,0.0,0.0,331971.74,424474.37,701659.32,0.0,46505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425266.46,0.0,353382.0,677849.43,31702.54,103529.84
10439430102905,515008.23,0.0,203743.66,0.0,10496.98,32451.37,3200.0,83091.83,4500.0,44990.45,0.0,11895.29,55397.82,4138.89,22715.96,3395.97,23434.66,-4894.1,47946.76,0.0,44699.59,76512.91,14145.74,12761.21,2914.0,4781.0,29978.3,135586.28,211631.0,21790.24,0.0,0.0,0.0,0.0,0.0,3477.4,0.0,0.0,9337.0,75408.01,0.0,0.0,0.0,0.0,325105.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66430.0,296132.77,0.0,0.0,0.0,510125.62,0.0,0.0,0.0,0.0,105989.82,0.0,0.0,6516.37,0.0,4967.87,304227.42,0.0,50000.0,200000.0,0.0,0.0,0.0,6516.37,0.0,0.0,0.0,0.0,0.0,66856.19,335191.0,63295.18,0.0,185460.0,0.0
10439430106534,963639.61,0.0,0.0,0.0,177194.9,0.0,0.0,0.0,0.0,78744.26,0.0,0.0,85438.78,39760.84,46294.68,0.0,0.0,0.0,67148.72,0.0,49905.71,165724.54,4510.82,34128.47,1224.31,6495.39,36000.0,47400.96,361147.95,8955.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904910.0,0.0,0.0,0.0,0.0,165792.0,257831.0,0.0,23971.0,56014.0,0.0,284171.34,43722.0,0.0,124000.0,120000.0,0.0,0.0,23971.0,0.0,0.0,0.0,0.0,0.0,812653.66,298011.41,-80335.62,1130677.0,368985.0,119390.95
10439430108308,193050.81,0.0,140000.0,0.0,0.0,22958.29,0.0,0.0,0.0,21154.32,0.0,16493.45,36094.16,0.0,16724.0,0.0,0.0,0.0,19568.96,0.0,27318.1,25811.78,3086.55,28891.03,4111.86,1020.0,14447.81,55723.99,59983.75,7043.47,0.0,0.0,0.0,0.0,0.0,17938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171483.0,19515.47,0.0,0.0,0.0,148810.78,0.0,0.0,0.0,0.0,0.0,147454.8,0.0,8206.68,5300.0,64622.52,41677.76,81538.0,40000.0,0.0,160000.0,0.0,0.0,8206.68,0.0,0.0,41095.41,0.0,0.0,1876.93,0.0,-16364.53,190131.4,6405.0,29200.0
10447444430252,1639079.38,0.0,111384.0,1942.71,0.0,0.0,0.0,147472.81,0.0,135482.59,22750.54,35618.93,29841.42,7756.81,31185.0,0.0,0.0,588.0,126130.18,3035.77,77215.89,68162.48,0.0,22856.29,5170.85,2427.61,83221.44,171751.32,356183.49,11975.95,0.0,0.0,0.0,0.0,0.0,50186.0,0.0,0.0,0.0,0.0,5912.72,0.0,0.0,0.0,836654.0,-3218.0,0.0,0.0,0.0,0.0,0.0,2044.23,25000.0,0.0,0.0,0.0,0.0,945272.35,0.0,169840.75,0.0,0.0,0.0,0.0,0.0,202287.0,0.0,124513.32,2000.0,328350.72,146300.29,226617.55,40000.0,0.0,0.0,0.0,0.0,124513.32,412917.84,0.0,0.0,535046.47,0.0,286868.67,1356037.76,25752.24,779902.65,35363.6,5150.0
