CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
01100170109835,3141479.58,0.0,335932.18,0.0,0.0,498592.55,1300980.57,0.0,0.0,305835.26,153869.59,173493.0,285347.75,42024.72,58327.77,0.0,0.0,0.0,0.0,412888.42,0.0,175250.68,39375.48,2067.5,0.0,45727.83,11619.0,53947.63,246915.88,1106150.45,1905845.4,48935.03,0.0,0.0,0.0,0.0,0.0,150203.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6987080.0,0.0,0.0,0.0,0.0,0.0,0.0,123385.0,334736.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297822.34,0.0,0.0,0.0,0.0,0.0,2929389.93,0.0,107736.77,956144.11,0.0,258933.88,0.0,3100000.0,0.0,0.0,0.0,0.0,107736.77,0.0,0.0,0.0,0.0,0.0,824422.5,928503.28,97207.85,91252.97,2001254.76,863549.0
01100170112607,731165.39,53625.71,235124.66,0.0,18831.7,0.0,13443.33,62250.75,0.0,82953.38,0.0,22042.5,110054.83,13134.3,14316.75,0.0,0.0,0.0,0.0,17966.51,5132.73,18600.19,5995.21,33668.63,0.0,1719.48,1600.8,12111.59,144762.61,29038.8,197331.36,10926.38,0.0,0.0,0.0,0.0,0.0,71881.42,0.0,0.0,-176463.61,159114.65,0.0,4706.0,0.0,0.0,0.0,1248102.0,-14762.0,0.0,0.0,0.0,0.0,0.0,144844.0,32739.0,53576.6,24622.0,92683.0,0.0,0.0,0.0,0.0,22529.36,78334.13,0.0,0.0,0.0,1182115.15,0.0,0.0,0.0,0.0,96283.11,54014.84,0.0,1574.86,1119395.01,0.0,78334.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125942.91,204277.04,0.0,17940.16,189753.24,105538.05
01100170118489,570373.51,72111.12,82537.15,0.0,96827.54,60427.25,0.0,75624.92,64373.01,56340.02,22071.79,35856.85,118412.29,3073.97,13131.0,0.0,0.0,0.0,8318.19,0.0,17305.84,70650.07,0.0,57147.63,0.0,9309.57,13737.07,5382.0,29238.64,149407.35,300766.91,29412.48,0.0,0.0,0.0,0.0,0.0,106111.56,0.0,0.0,0.0,0.0,-43315.57,0.0,0.0,0.0,0.0,994561.0,-5201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77816.77,47431.68,51747.0,0.0,0.0,0.0,0.0,15319.96,0.0,0.0,0.0,0.0,377160.06,0.0,0.0,0.0,0.0,209995.21,219331.59,0.0,0.0,0.0,222696.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160446.82,213793.24,8904.0,395343.12,400683.17,0.0
01611190119222,822167.53,0.0,189646.02,54581.73,36799.21,0.0,38788.54,0.0,29871.45,90525.14,9712.33,25751.54,90880.04,11178.54,32644.91,0.0,0.0,0.0,1916.0,8468.96,26156.03,48044.5,92394.94,4859.45,0.0,1980.34,2502.56,14562.38,60.39,4993.9,290678.1,6115.55,0.0,0.0,0.0,0.0,0.0,2065.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986957.0,0.0,0.0,0.0,0.0,0.0,0.0,462760.26,317020.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54603.99,0.0,0.0,0.0,0.0,604165.52,0.0,0.0,66327.69,0.0,8261.6,194671.56,0.0,0.0,7979.28,250000.0,0.0,0.0,66327.69,0.0,0.0,0.0,0.0,0.0,214380.27,0.0,14039.54,54170.92,267582.0,115523.0
01611190130625,198260.62,0.0,94691.07,0.0,51643.93,30856.13,34650.0,69201.05,0.0,0.0,0.0,5468.17,30443.69,6422.31,5583.89,23381.26,0.0,0.0,11422.03,0.0,12162.84,16754.0,0.0,11422.03,0.0,11376.82,5159.78,6084.75,15731.18,11709.41,165717.62,9812.05,0.0,0.0,0.0,0.0,0.0,6295.96,0.0,0.0,6622.0,0.0,0.0,343.58,0.0,0.0,0.0,423151.79,15488.0,0.0,0.0,0.0,0.0,0.0,0.0,6577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91002.19,0.0,0.0,0.0,0.0,84872.12,0.0,0.0,0.0,0.0,0.0,10622.0,0.0,16969.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148283.27,114600.29,0.0,337944.76,91737.6,0.0
01611920108670,1089288.0,171305.0,262585.0,0.0,15320.0,41500.0,53362.0,107055.0,9416.0,114074.0,0.0,25423.0,142187.0,6020.0,29654.0,0.0,0.0,0.0,30075.0,25689.0,0.0,53253.0,96260.0,95178.0,75923.0,43288.0,4756.0,14993.0,64833.0,51215.0,26621.0,16397.0,0.0,0.0,0.0,0.0,0.0,114208.0,0.0,27155.0,395838.0,17260.0,0.0,52442.0,0.0,0.0,0.0,1875260.0,-105116.0,0.0,0.0,0.0,0.0,0.0,594701.0,40333.0,120271.0,52877.0,113346.0,0.0,0.0,0.0,0.0,640525.0,0.0,0.0,0.0,0.0,730798.0,0.0,0.0,11866.0,4767.0,913611.0,269896.0,0.0,50000.0,0.0,874995.0,0.0,0.0,11866.0,0.0,0.0,0.0,0.0,0.0,1094809.0,1061348.0,0.0,70474.0,365078.0,190676.0
01611920113902,978739.23,37344.66,233503.66,0.0,32728.5,27952.5,0.0,76648.29,0.0,102277.29,0.0,28003.64,136382.58,14747.73,17831.29,471.53,0.0,0.0,0.0,22768.17,9382.9,25091.02,8134.55,68023.51,0.0,589.42,2594.31,13169.51,29352.6,25715.02,210233.55,18591.38,0.0,0.0,0.0,0.0,0.0,57710.88,0.0,0.0,263381.52,220216.04,0.0,0.0,0.0,0.0,0.0,1487883.0,-4196.0,0.0,0.0,0.0,0.0,0.0,490499.0,12778.0,76328.34,38249.79,99105.0,0.0,0.0,0.0,0.0,16897.02,58975.27,0.0,0.0,0.0,1792292.32,0.0,0.0,0.0,0.0,125586.37,87649.19,0.0,50000.0,1238793.71,100000.0,58975.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458332.81,517308.08,0.0,55948.78,261101.67,143887.7
01611920119248,253195.41,0.0,0.0,0.0,51984.5,1419.9,74750.0,25929.17,19541.75,19867.19,0.0,17659.36,25876.66,6493.01,5126.0,0.0,0.0,0.0,0.0,0.0,13161.0,16168.98,42271.22,767.49,0.0,11426.5,1716.5,5735.82,31041.79,67263.66,70150.48,1853.14,0.0,0.0,0.0,0.0,0.0,12704.81,0.0,0.0,0.0,0.0,0.0,59.54,0.0,0.0,0.0,364825.0,0.0,0.0,0.0,0.0,0.0,0.0,150161.99,387500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433273.49,0.0,0.0,0.0,0.0,148773.24,0.0,0.0,0.0,2999.3,9380.55,45142.61,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349283.97,0.0,0.0,158260.62,64700.24,0.0
01612590100065,568307.0,0.0,193218.0,0.0,0.0,0.0,0.0,46675.0,38317.0,50019.0,0.0,31036.0,171537.0,2677.0,15219.0,0.0,0.0,0.0,0.0,15035.0,2981.0,92999.0,0.0,54518.0,371960.0,61107.0,5352.0,17199.0,32599.0,221106.0,330205.0,5720.0,0.0,0.0,0.0,0.0,0.0,17291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222573.0,-63870.0,0.0,0.0,0.0,0.0,0.0,130023.0,191630.0,0.0,0.0,95004.0,0.0,0.0,0.0,0.0,121998.0,0.0,0.0,0.0,0.0,525987.0,0.0,0.0,44599.0,13110.0,34185.0,281815.0,0.0,0.0,0.0,0.0,0.0,0.0,44599.0,0.0,0.0,0.0,0.0,0.0,413465.0,466919.0,39270.0,48047.0,673545.0,0.0
01612590100123,202076.59,0.0,0.0,0.0,84102.48,84598.25,250.0,24875.99,36460.0,0.0,0.0,33032.54,30741.04,432.37,4539.82,0.0,0.0,0.0,0.0,26763.74,1044.5,26306.86,0.0,5943.4,0.0,5549.31,1965.59,3744.0,79024.04,285212.88,98345.44,6839.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641074.0,-29001.0,0.0,0.0,0.0,0.0,0.0,87281.0,62799.0,0.0,0.0,52171.0,0.0,0.0,0.0,0.0,47940.03,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,25000.0,326060.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449000.57,609497.7,-143351.7,17912.43,192466.46,0.0
