CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
1010108111682,166136.81,12524.82,29261.0,0.0,18326.51,0.0,34095.0,12570.0,0.0,14633.38,0.0,8345.84,0.0,4393.91,5588.83,0.0,0.0,0.0,0.0,0.0,4665.08,1752.64,1171.65,0.0,0.0,675.0,4590.22,7205.8,0.0,4120.0,15414.89,4252.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2327.0,0.0,0.0,0.0,40710.0,158677.0,-294.0,0.0,0.0,0.0,0.0,0.0,26734.0,21021.56,0.0,0.0,0.0,0.0,0.0,18743.5,0.0,0.0,0.0,0.0,0.0,0.0,80434.37,0.0,0.0,0.0,0.0,0.0,24593.95,0.0,112000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68825.42,28661.72,0.0,0.0,67794.78,40154.81,0.0
1010108119628,371573.07,12608.28,162416.75,0.0,15935.0,0.0,0.0,86895.67,13482.12,33007.65,6539.64,18670.78,19000.8,10673.24,14916.0,0.0,0.0,0.0,1996.14,0.0,8934.0,80786.49,176.71,62614.1,0.0,1141.5,7721.94,15538.2,37049.37,48733.57,123561.81,6294.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8216.93,1562.0,0.0,0.0,0.0,679520.0,4812.0,0.0,0.0,0.0,0.0,0.0,77285.0,311.0,3458.0,48722.56,32517.0,0.0,0.0,127775.71,0.0,0.0,0.0,0.0,0.0,0.0,266713.63,0.0,0.0,0.0,0.0,0.0,341661.88,0.0,20000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8827.6,0.0,48352.68,15103.16,0.0,1655.06,61044.76,166581.4,25165.79
10101086085112,1736290.0,0.0,102300.0,0.0,110840.0,97588.0,69187.0,56181.0,233003.0,149109.0,37982.0,74091.0,436801.0,37192.0,35260.0,0.0,0.0,0.0,0.0,54382.0,6342.0,52061.0,7557.0,0.0,109628.0,9486.0,0.0,41831.0,4958.0,153964.0,416618.0,8580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2212859.0,0.0,0.0,0.0,0.0,0.0,0.0,282557.0,0.0,0.0,0.0,272582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9413.0,-9413.0,0.0,0.0,0.0,1193031.0,80202.0
10621661030642,462242.78,0.0,267134.78,0.0,215823.29,0.0,0.0,124200.79,0.0,0.0,0.0,79409.8,200844.57,9666.45,21606.28,0.0,0.0,0.0,0.0,0.0,9932.66,16821.02,0.0,44766.99,0.0,4809.04,1200.0,9750.62,0.0,178164.07,224652.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038453.0,0.0,0.0,0.0,0.0,36792.32,0.0,114306.77,119636.47,0.0,0.0,84935.85,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,205802.45,0.0,0.0,0.0,0.0,83896.64,285922.37,0.0,0.0,4076.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8089.24,468811.75,0.0
10621661030667,640079.48,17115.0,0.0,57735.24,10959.41,0.0,0.0,195635.86,59675.48,33399.19,0.0,47540.04,177689.65,20657.25,22204.4,0.0,0.0,0.0,25365.87,42056.54,8562.61,55371.39,0.0,33883.58,132612.42,11757.06,4599.0,5152.7,25883.5,88303.58,247402.28,17537.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15725.3,0.0,76616.43,0.0,109.68,0.0,0.0,0.0,1405606.0,101728.0,0.0,0.0,0.0,0.0,0.0,156597.71,0.0,0.0,0.0,84951.0,0.0,0.0,0.0,0.0,204425.54,0.0,0.0,0.0,0.0,969532.07,0.0,0.0,0.0,22757.64,0.0,142494.92,575638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239763.05,59121.25,478582.33,0.0,477.27,503968.15,0.0
10621661030840,678234.93,227688.05,210918.99,0.0,1805.0,111632.73,0.0,163371.97,0.0,91008.34,0.0,36833.66,123523.49,19051.96,20262.2,0.0,0.0,0.0,11810.16,0.0,0.0,182781.21,9845.15,61594.65,0.0,13976.35,1896.44,23267.37,86002.31,328527.42,234700.94,32309.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20252.12,0.0,0.0,0.0,0.0,1810466.0,-9008.0,0.0,0.0,0.0,0.0,0.0,189218.0,4573.0,0.0,35584.25,150666.0,0.0,0.0,0.0,0.0,13252.94,0.0,0.0,0.0,0.0,1607.0,784708.74,0.0,11572.89,0.0,0.0,117825.1,7263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640562.74,0.0,0.0,0.0,21881.43,533405.39,0.0
1062166106740,559924.74,0.0,0.0,0.0,34258.44,87446.15,77680.72,69355.16,111761.51,45954.06,0.0,36483.92,107537.32,17517.55,15715.0,0.0,0.0,0.0,980.0,20463.23,248.56,52604.3,24418.9,128987.33,11435.0,8666.87,3668.81,24375.07,37021.0,140617.52,354313.46,12441.94,0.0,0.0,0.0,0.0,0.0,7071.4,0.0,0.0,0.0,0.0,0.0,4705.0,0.0,0.0,0.0,1234413.21,-1345.0,0.0,0.0,0.0,0.0,0.0,155673.59,56753.0,0.0,88087.7,0.0,0.0,0.0,0.0,0.0,190383.38,0.0,0.0,0.0,0.0,558195.95,0.0,0.0,3482.03,0.0,5450.8,196573.85,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510938.31,0.0,436856.35,-23156.35,0.0,0.0,99628.3,459680.47,0.0
1062166111633,623086.89,0.0,95439.54,0.0,17003.77,6173.2,81507.05,0.0,59390.22,57413.9,14260.95,23692.87,131697.02,16698.11,19877.0,0.0,0.0,0.0,5075.0,0.0,0.0,31278.22,-8.29,152805.57,0.0,3901.69,2857.63,13283.94,26606.8,181678.52,323945.34,11839.79,0.0,0.0,0.0,0.0,0.0,68962.96,0.0,0.0,0.0,0.0,0.0,27277.39,0.0,0.0,0.0,1273902.85,1043.0,0.0,0.0,0.0,0.0,0.0,162518.86,78461.0,0.0,128730.42,0.0,0.0,0.0,115484.62,0.0,96975.58,0.0,0.0,0.03,0.0,716427.69,0.0,0.0,38921.61,322.38,737221.21,274298.23,0.0,265815.95,0.0,662289.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502948.98,0.0,286763.0,-23461.0,0.0,0.0,67014.6,523721.33,0.0
1062166114355,1822182.72,78320.85,133738.56,64874.58,56408.6,104063.04,252301.12,118753.2,0.0,173091.34,0.0,67521.18,702485.48,42353.29,36466.53,0.0,0.0,0.0,27053.13,49233.84,2028.54,95129.97,11221.35,0.0,0.0,4688.23,7299.0,40086.65,58858.09,264699.49,246380.61,8848.5,0.0,0.0,0.0,-2657.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3538549.0,0.0,0.0,0.0,0.0,0.0,0.0,405694.0,2267.0,0.0,0.0,172401.0,0.0,0.0,0.0,0.0,600774.73,0.0,0.0,0.0,0.0,0.0,1412221.12,0.0,91336.65,0.0,0.0,43200.5,2806.69,0.0,0.0,0.0,0.0,0.0,91336.65,0.0,0.0,0.0,0.0,0.0,978563.4,0.0,988425.26,1748645.76,0.0,0.0,0.0,7440.14,532842.21,115916.91
1062166114553,1331087.96,121731.6,207824.8,0.0,39470.0,0.0,28273.56,90541.19,36757.43,133228.81,10534.04,39052.3,291314.34,29876.76,22350.61,0.0,0.0,0.0,0.0,0.0,63279.77,133756.36,204636.6,0.0,0.0,22787.78,3186.0,22910.0,0.0,17134.66,3335170.92,0.0,0.0,7778.03,0.0,19379.92,0.0,0.0,0.0,0.0,0.0,0.0,349512.6,0.0,0.0,0.0,0.0,2694271.12,2001.0,0.0,0.0,0.0,0.0,0.0,282827.51,5645.18,0.0,0.0,0.0,0.0,0.0,1441028.66,0.0,0.0,1000.0,0.0,2597.0,0.0,1158009.96,0.0,1152.13,0.0,0.0,0.0,265309.67,0.0,0.0,0.0,0.0,1000.0,1152.13,0.0,0.0,292062.52,0.0,0.0,0.0,0.0,0.0,2044263.43,5255525.11,0.0,0.0,0.0,379918.62,279865.58,0.0
