CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8012,8019,"8091, 8097",8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
01100170112607,1313204.0,88378.0,270582.0,0.0,29747.0,116430.0,0.0,49822.0,0.0,178204.0,0.0,38312.0,168549.0,21639.0,20273.0,1411.0,0.0,257.0,3162.0,3919.0,58414.0,32430.0,6746.0,0.0,1284.0,1425.0,30805.0,108968.0,348859.0,180337.0,55957.0,0.0,0.0,0.0,0.0,0.0,113249.0,0.0,0.0,0.0,0.0,810138.0,21843.0,0.0,0.0,2346200.0,601672.0,0.0,0.0,779496.0,86282.0,49492.0,0.0,104605.0,35594.0,0.0,0.0,0.0,452299.0,0.0,0.0,0.0,0.0,156655.0,574870.0,0.0,6540.0,3602.0,132079.0,0.0,0.0,0.0,315245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222413.0,0.0,111819.0,123812.0,0.0,0.0,380117.0,457020.0,220648.0
01100170123968,505619.88,0.0,187294.41,0.0,266719.8,0.0,126798.65,0.0,0.0,73470.84,0.0,38407.98,72809.87,16526.85,9517.5,0.0,0.0,0.0,3323.82,2960.5,37000.98,30584.03,3287.82,0.0,40512.47,1548.41,21573.5,147415.63,81402.63,371224.98,11445.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,881439.0,228403.0,12528.0,0.0,357600.0,88397.0,23932.0,0.0,0.0,0.0,0.0,0.0,0.0,226782.34,0.0,0.0,0.0,0.0,51046.0,201945.53,0.0,1387.73,6827.0,72744.8,0.0,0.0,0.0,36037.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277113.48,0.0,288744.47,-2670.47,0.0,102092.0,280632.93,142157.92,127659.0
01100170124172,1192640.19,0.0,206701.98,0.0,97576.78,0.0,113771.86,0.0,62697.57,137665.05,0.0,45228.04,109193.46,13123.18,22999.67,0.0,0.0,354.0,52618.0,0.0,44296.62,56836.41,84871.62,0.0,3219.68,610.0,21846.33,55416.29,181729.44,841447.93,11793.58,0.0,0.0,0.0,0.0,0.0,13756.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785296.0,392662.0,0.0,0.0,0.0,0.0,32201.0,0.0,0.0,0.0,0.0,0.0,0.0,524866.23,0.0,0.0,0.0,0.0,422759.58,0.0,0.0,66362.79,30000.0,193787.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799931.7,0.0,584960.48,0.0,0.0,50269.0,882934.89,388551.37,153989.0
01100170125567,641741.96,0.0,202000.05,367.63,546976.71,0.0,72500.04,61982.98,133729.02,131252.12,0.0,50517.57,166941.29,23296.43,20727.5,0.0,0.0,0.0,1092.82,18537.87,74691.17,28906.2,81117.12,0.0,6114.33,2631.82,21685.16,85690.74,107237.46,583129.42,18100.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246354.0,389929.0,-2013.0,0.0,611566.0,139.0,34958.0,51344.67,32998.0,0.0,0.0,0.0,0.0,333382.91,0.0,0.0,0.0,0.0,488689.37,0.0,0.0,0.0,0.0,185337.59,0.0,0.0,12500.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522984.03,0.0,224064.66,1.34,0.0,51252.0,669914.67,225078.68,170869.0
01100170131581,207292.0,10349.0,90080.0,0.0,164953.0,0.0,0.0,45166.0,25322.0,33019.0,0.0,22473.0,39502.0,272.0,10591.0,0.0,0.0,0.0,13389.0,1186.0,52477.0,46606.0,66831.0,0.0,1570.0,4233.0,13428.0,17915.0,170259.0,118810.0,6483.0,0.0,0.0,0.0,0.0,0.0,7701.0,0.0,0.0,0.0,0.0,99442.0,0.0,0.0,0.0,488389.0,14572.0,0.0,0.0,150146.0,31755.0,0.0,24073.0,0.0,0.0,0.0,0.0,0.0,1698.0,0.0,0.0,0.0,0.0,274655.0,0.0,0.0,39026.0,0.0,101058.0,0.0,208335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5986.0,0.0,0.0,47768.0,0.0,0.0,321461.0,165124.0,32047.0
01100176001788,2089068.0,0.0,104103.0,0.0,0.0,301171.0,98340.0,136285.0,0.0,207196.0,48481.0,80230.0,439794.0,26009.0,36693.0,0.0,0.0,0.0,90692.0,13240.0,91554.0,65064.0,20275.0,0.0,7850.0,4273.0,0.0,89948.0,257915.0,2067757.0,48250.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3242927.0,758475.0,0.0,0.0,1183854.0,36113.0,74803.0,0.0,231125.0,0.0,0.0,0.0,0.0,980408.0,0.0,0.0,0.0,0.0,884086.0,0.0,0.0,41377.0,0.0,689219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216655.0,0.0,739374.0,91868.0,0.0,0.0,110882.0,622288.0,449705.0
01100176002000,1437186.0,0.0,216927.0,0.0,0.0,241275.0,40944.0,134699.0,0.0,137102.0,56665.0,70429.0,311145.0,19335.0,28722.0,0.0,0.0,0.0,42047.0,7546.0,108592.0,42901.0,12686.0,0.0,11570.0,3159.0,0.0,94364.0,204623.0,1450804.0,72914.0,0.0,0.0,0.0,0.0,0.0,59682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2327645.0,572706.0,0.0,0.0,891579.0,24748.0,54755.0,0.0,178964.0,0.0,0.0,0.0,0.0,459500.0,0.0,0.0,0.0,0.0,775153.0,0.0,0.0,23439.0,0.0,388883.0,0.0,560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309209.0,0.0,8759.0,-459990.0,247254.0,0.0,758811.0,747740.0,256063.0
01611190119222,1663016.99,0.0,498948.25,78221.06,171565.85,0.0,149976.01,9545.46,126588.34,221665.66,50801.58,76114.76,200714.67,25606.44,24676.48,0.0,0.0,1016.76,15346.24,8914.36,105713.8,264450.1,49364.22,0.0,14551.39,5464.72,29469.54,107023.44,98931.78,688617.03,16184.13,0.0,0.0,0.0,0.0,0.0,9441.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892055.0,692382.0,11989.0,0.0,1250310.0,3434.0,59642.0,16517.18,38697.0,0.0,0.0,0.0,0.0,929253.99,0.0,0.0,0.0,0.0,792323.06,0.0,0.0,78303.45,16846.47,253567.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556726.28,0.0,1322705.43,0.0,0.0,57818.19,330477.31,403282.04,304983.65
01611190122085,1566601.18,168513.66,326030.48,49231.16,81468.69,78118.26,157723.0,161572.47,131308.83,232452.05,0.0,70892.62,296441.84,30232.37,27190.01,0.0,0.0,8390.0,0.0,18779.38,118514.99,92410.7,15599.89,0.0,17558.75,19077.73,28735.9,145259.15,40889.38,527039.32,11253.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691590.0,651444.0,0.0,0.0,1196703.0,0.0,62227.0,0.0,80846.0,0.0,0.0,0.0,0.0,322719.77,0.0,0.0,801052.5,0.0,696453.31,0.0,0.0,35327.41,0.0,262153.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593399.9,0.0,1274608.0,30.0,0.0,0.0,263211.55,544605.89,249420.0
01611190130609,1065956.08,0.0,352884.65,74070.15,41777.33,0.0,31932.06,64123.67,0.0,144717.94,21531.74,35938.47,127963.81,15052.98,12967.52,0.0,0.0,1145.84,80003.51,5897.15,88498.42,208528.32,19243.78,0.0,3697.75,4620.78,20541.36,80079.89,64169.71,748905.54,18307.04,0.0,0.0,0.0,0.0,0.0,5043.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349713.0,519971.0,2703.0,0.0,888730.0,219.51,159374.0,3545.07,0.0,0.0,0.0,0.0,0.0,1410079.73,0.0,0.0,0.0,0.0,483004.95,0.0,0.0,53314.06,0.0,286353.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1615228.18,0.0,1430450.03,0.0,0.0,61017.92,154982.42,303615.26,200542.05
