,NCESCode,CDSCode
0,069105110947,01100170112607
1,069105112844,01100170123968
2,069105112901,01100170124172
3,069105113008,01100170125567
4,069105113887,01100170131581
5,069105104257,01100176001788
6,069105104288,01100176002000
7,060177012399,01611190119222
8,060177000042,01611190122085
9,060177008673,01611190130609
10,060177008674,01611190130625
11,060177013871,01611190131805
12,060474012792,01611430122689
13,060474012715,01611430122697
14,061440007479,01611760130534
15,061674010737,01611920108670
16,061674011849,01611920113902
17,061674012426,01611920119248
18,061674013351,01611920127696
19,061674013531,01611920127944
20,062211010736,01612000107839
21,062805011351,01612590100065
22,062805011338,01612590100123
23,062805010720,01612590106906
24,060141913136,07768100125815
25,062805010726,01612590108944
26,062805010727,01612590109819
27,062805011561,01612590111476
28,062805011563,01612590111856
29,063432012577,37683380121178
30,062805012013,01612590114363
31,062805012006,01612590114454
32,062805012041,01612590114868
33,062805011935,01612590115014
34,062805012040,01612590115238
35,062805012056,01612590115386
36,062805012054,01612590115592
37,062805012331,01612590118224
38,062805012542,01612590120188
39,062805012648,01612590123711
40,062805013155,01612590126748
41,062805013676,01612590128413
42,062805013772,01612590129403
43,062805013752,01612590129635
44,062805013735,01612590129932
45,062805010729,01612590130617
46,062805010408,01612590130633
47,062805010459,01612590130666
48,062805010724,01612590130732
49,062805010724,01612590108803
50,060001707296,36750773630837
51,060001707296,36750773631207
52,062805013856,01612590131896
53,062805013888,01612590132555
54,062805010461,01612593030772
55,062805002893,01612596111660
56,062805005673,01612596113807
57,062805013190,01612590125856
58,062805008440,01612596117568
59,062805008442,01612596117972
60,062805008677,01612596118608
61,063471011159,01613090101212
62,063471011893,01613090114421
63,069100113745,03100330129692
64,069100211953,04100410114991
65,069100205704,04100410430090
66,060837011569,04614240110551
67,060837012233,04614240118042
68,060837012539,04614240120394
69,060837012750,04614240121475
70,060837012755,04614240123810
71,060837005708,04614246113773
72,060837008682,04614246119523
73,061371012613,04614400121509
74,061548013032,04614570125252
75,062910013790,04615070129577
76,062982011571,04615310110338
77,062982012676,04615310121715
78,062982004345,04615316112585
79,062982004403,04615316112999
80,062982005717,04615316113765
81,069100308686,05100580530154
82,069100512043,07100740114470
83,069100513746,07100740129528
84,069100513776,07100740129684
85,069100503940,07100740731380
86,060285011984,07616480115063
87,060285007493,07616486115703
88,060675013821,07616630130930
89,062637008688,07617546118087
90,063255011225,07617960101477
91,063255011576,07617960110973
92,063255013164,07617960126805
93,063255013753,07617960129643
94,063255013890,07617960132100
95,063255013891,07617960132118
96,063255013892,07617960132233
97,063255008692,07617966118368
98,069106311883,08100820114116
99,069106308694,08100820830059
100,069100612762,09100900123521
101,069100601981,09100900930123
102,069100602957,09100900930131
103,069106311577,08100820109777
104,060627010767,09618380107227
105,060627011580,09618380111724
106,060627013748,09618380129965
107,060717012702,09618460123125
108,061207010478,09618530930214
109,060524012774,09737830121566
110,069100710789,10101080109991
111,069100711584,10101080111682
112,069100712427,10101080119628
113,069100707958,10101086085112
114,060237000127,10619946005730
115,060903012267,10621170118018
116,060282012172,19642460115337
117,061455010775,10621660106740
118,061455011846,10621660114355
119,061455011911,10621660114553
120,061455012619,10621660121533
121,061455013508,10621660127514
122,061455007497,10621661030642
123,061455008697,10621661030840
124,062805013864,01612590131672
125,062703013784,39686270129361
126,061980011915,10622400113142
127,061980012097,10622400114587
128,061980002380,10622406006704
129,061980002381,10622406006712
130,061980002382,10622406006720
131,061980009558,10622406108328
132,061980007085,10622406114805
133,061970012321,10622650116640
134,061970013141,10622650126292
135,062853013125,10623310127175
136,062853013843,10623310130880
137,061455011900,10621660115196
138,063168012984,10623800124982
139,063525007967,10624141030766
140,063525008474,10624146117865
141,063525008475,10624146117873
142,064206003032,10625396112387
143,064221012485,10625470120535
144,064221013118,10625470127159
145,060141508472,10767781030774
146,069100812983,11101160124909
147,069100813810,11101160130724
148,069100813820,11101160130807
149,069100808479,11101161130103
150,060300010799,12626790109975
151,060300011590,12626790111708
152,060300013192,12626790127266
153,060300010500,12626796120562
154,060303010800,12626870107110
155,060303012960,12626870124263
156,061452007974,12628286116289
157,062232008486,12629271230150
158,062943011947,12629760115154
159,063735011593,12630320111203
160,063735012891,12630320124289
161,060003807500,12753821230135
162,060142012857,12768020124164
163,061203012184,13631230118455
164,061203012728,13631230121855
165,061203012660,13631230122663
166,069101112197,14101400117994
167,063581005444,49709126113278
168,069101113673,14101400128447
169,069101113704,14101400128454
170,069101212450,15101570119669
171,069101212948,15101570124040
172,069101208491,15101571530492
173,061089012512,15634040120139
174,061089001208,15634046009351
175,061089001209,15634046009369
176,061954004529,15635291530435
177,062382013132,15636280127183
178,062382013167,15636280127209
179,062382013690,15636280128504
180,069107811974,19101990112730
181,060790008581,34739733430816
182,060007108706,15756301530500
183,060318011283,16638750101717
184,060318011996,16638750112698
185,061647002079,16639176010391
186,061851002268,16639336010466
187,061977002379,16639416010474
188,061989004566,16639586113120
189,062136011285,16639740100156
190,062140011607,16639820110205
191,063051012323,16639900116699
192,063051004741,16639906010557
193,063051010226,16639906110233
194,061932013842,17640140130989
195,062475010819,17640550108340
196,062475013769,17640550129601
197,063183012277,18641620118067
198,063183012460,18641620120287
199,063183009067,18641626010763
200,064230010513,18642041830132
201,060001112763,18750360121657
202,061455011588,10621660111633
203,069107810853,19101990106880
204,069107810891,19101990109660
205,069107810897,19101990109942
206,069107811655,19101990112128
207,069107812673,19101990121772
208,064071011398,37684370101220
209,069107813159,19101990127274
210,069107813591,19101990127498
211,069107813536,19101990127522
212,069107813895,19101990132605
213,069107807106,19101991996008
214,069107808012,19101996116883
215,060282013154,19642460126003
216,060282008714,19642461996537
217,060369012018,19642870114397
218,060369008715,19642871996479
219,060645007514,19643371996099
220,061455007962,10621661030667
221,060792013705,19643520128488
222,060792013732,19643520128496
223,061152013697,19644690128736
224,061560008502,19645841996305
225,061668011295,19645920100354
226,061839011296,19646340101667
227,061839012247,19646340116822
228,061839012416,19646340119552
229,061839012467,19646340120303
230,061839012531,19646340120311
231,061839012576,19646340121186
232,061839013719,19646340128991
233,061839010538,19646341996586
234,061839002257,19646346014518
235,062088012650,19646670123174
236,062088013037,19646670125559
237,062121008718,19646911996438
238,062142011328,19647090100602
239,062142010827,19647090107508
240,062142011614,19647090112250
241,062142008504,19647091996313
242,062250013471,19647250127506
243,062250013860,19647250131938
244,062271011333,19647330100289
245,062271011361,19647330100669
246,062271010829,19647330100677
247,062271010830,19647330100743
248,062271011365,19647330100750
249,062271011339,19647330100776
250,062271011337,19647330100800
251,062271011324,19647330100867
252,062271011358,19647330101196
253,062271011308,19647330101444
254,062271011312,19647330101659
255,062271011313,19647330101675
256,062271011314,19647330101683
257,062271010833,19647330102335
258,062271010835,19647330102426
259,062271010836,19647330102434
260,062271010837,19647330102442
261,062271010838,19647330102483
262,062271010839,19647330102491
263,062271010840,19647330102541
264,062271010845,19647330106351
265,062271010846,19647330106427
266,062271010847,19647330106435
267,062271010848,19647330106831
268,062271010849,19647330106849
269,062271010851,19647330106864
270,062271010852,19647330106872
271,062271010864,19647330107755
272,062271010865,19647330108878
273,062271010866,19647330108886
274,062271010867,19647330108894
275,062271010869,19647330108910
276,062271010870,19647330108928
277,062271010871,19647330108936
278,062271010893,19647330109884
279,062271010896,19647330109934
280,062271011628,19647330110304
281,062271011630,19647330111211
282,062271011631,19647330111484
283,062271011632,19647330111492
284,062271011633,19647330111500
285,062271011634,19647330111518
286,062271011635,19647330111575
287,062271011636,19647330111583
288,062271011640,19647330111625
289,062271011641,19647330111641
290,062271011642,19647330111658
291,062271011654,19647330112060
292,062271011657,19647330112201
293,062271011660,19647330112235
294,062271011662,19647330112334
295,062271011665,19647330112508
296,062271012077,19647330114884
297,062271011928,19647330114959
298,062271011931,19647330114967
299,062271012010,19647330115030
300,062271012019,19647330115048
301,062271011856,19647330115113
302,062271012044,19647330115139
303,062271011842,19647330115212
304,062271011889,19647330115253
305,062271011954,19647330115287
306,062271012162,19647330115766
307,062271012120,19647330115782
308,062271012259,19647330116509
309,062271012217,19647330117036
310,062271012312,19647330117077
311,062271012378,19647330117598
312,062271012342,19647330117606
313,062271012324,19647330117614
314,062271012360,19647330117622
315,062271012347,19647330117630
316,062271012322,19647330117648
317,062271012235,19647330117655
318,062271012361,19647330117846
319,062271012276,19647330117895
320,062271012292,19647330117903
321,062271012253,19647330117911
322,062271012222,19647330117937
323,062271012227,19647330117945
324,062271012194,19647330117952
325,062271012215,19647330117978
326,062271012248,19647330118588
327,062271012537,19647330119974
328,062271012479,19647330119982
329,062271012536,19647330120014
330,062271012510,19647330120022
331,062271012528,19647330120030
332,062271012474,19647330120048
333,062271012456,19647330120071
334,062271012455,19647330120097
335,062271012447,19647330120477
336,062271012491,19647330120527
337,062271012527,19647330121012
338,062271012437,19647330121079
339,062271012567,19647330121285
340,062271012572,19647330121293
341,062271012717,19647330121699
342,062271012705,19647330121707
343,062271012811,19647330121848
344,062271012622,19647330122242
345,062271012690,19647330122481
346,062271012631,19647330122499
347,062271012708,19647330122556
348,062271012805,19647330122564
349,062271012816,19647330122606
350,062271012679,19647330122614
351,062271012761,19647330122622
352,062271012616,19647330122630
353,062271012782,19647330122655
354,062271012634,19647330122721
355,062271012776,19647330122739
356,062271012695,19647330122747
357,062271012641,19647330122754
358,062271012643,19647330122838
359,062271012738,19647330122861
360,062271012817,19647330123133
361,062271012766,19647330123141
362,062271012683,19647330123158
363,062271012614,19647330123166
364,062271012942,19647330123984
365,062271012905,19647330123992
366,062271012908,19647330124008
367,062271012935,19647330124016
368,062271012939,19647330124024
369,062271012982,19647330124198
370,062271012852,19647330124222
371,062271012883,19647330124560
372,062271012950,19647330124784
373,062271012967,19647330124792
374,062271012856,19647330124800
375,062271012963,19647330124818
376,062271012915,19647330124826
377,062271012903,19647330124883
378,062271012848,19647330124891
379,062271012869,19647330124933
380,062271012924,19647330124941
381,062271013002,19647330125609
382,062271013004,19647330125625
383,062271013005,19647330125641
384,062271013094,19647330125864
385,062271013183,19647330126078
386,062271013084,19647330126136
387,062271013145,19647330126169
388,062271013114,19647330126177
389,062271013044,19647330126185
390,062271013088,19647330126193
391,062271013135,19647330126797
392,062271013099,19647330127217
393,062271013657,19647330127670
394,062271013527,19647330127852
395,062271013319,19647330127878
396,062271013642,19647330127886
397,062271013564,19647330127894
398,062271013537,19647330127910
399,062271013348,19647330127936
400,062271013378,19647330127977
401,062271013466,19647330127985
402,062271013597,19647330128009
403,062271013261,19647330128025
404,062271013273,19647330128033
405,062271013487,19647330128041
406,062271013403,19647330128058
407,062271013212,19647330128116
408,062271013316,19647330128132
409,062271013684,19647330128371
410,062271013685,19647330128389
411,062271013691,19647330128512
412,062271013787,19647330129270
413,062271013788,19647330129379
414,062271013760,19647330129460
415,062271013750,19647330129593
416,062271013768,19647330129619
417,062271013741,19647330129627
418,062271013802,19647330129650
419,062271013742,19647330129825
420,062271013789,19647330129833
421,062271013756,19647330129858
422,062271013765,19647330129866
423,062271013749,19647330129874
424,062271013872,19647330131466
425,062271013870,19647330131680
426,062271013900,19647330131722
427,062271013883,19647330131771
428,062271013877,19647330131797
429,062271013851,19647330131821
430,062271013881,19647330131839
431,062271013868,19647330131847
432,062271013901,19647330131870
433,062271013902,19647330131904
434,062271013857,19647330132084
435,062271013897,19647330132126
436,062271013898,19647330132282
437,062271002857,19647331931047
438,062271002916,19647331931708
439,062271002923,19647331931864
440,062271002977,19647331932623
441,062271003050,19647331933746
442,062271003385,19647331938554
443,062271003387,19647331938612
444,062271004593,19647331995836
445,062271010517,19647331996610
446,062271002842,19647336015986
447,062271002884,19647336016240
448,062271002885,19647336016257
449,062271002886,19647336016265
450,062271002894,19647336016323
451,062271002898,19647336016356
452,062271002910,19647336016422
453,062271002929,19647336016562
454,062271002949,19647336016703
455,062271002951,19647336016729
456,062271002959,19647336016778
457,062271002979,19647336016869
458,062271002986,19647336016901
459,062271002990,19647336016935
460,062271003000,19647336017016
461,062271003041,19647336017263
462,062271003049,19647336017339
463,062271003065,19647336017438
464,062271007521,19647336017529
465,062271003111,19647336017693
466,062271003113,19647336017701
467,062271003119,19647336017743
468,062271003141,19647336017891
469,062271003170,19647336018063
470,062271003194,19647336018204
471,062271003210,19647336018287
472,062271003260,19647336018634
473,062271003261,19647336018642
474,062271003281,19647336018725
475,062271003286,19647336018774
476,062271003311,19647336018923
477,062271003333,19647336019079
478,062271003343,19647336019111
479,062271003351,19647336019186
480,062271003381,19647336019392
481,062271003401,19647336019525
482,062271003402,19647336019533
483,062271003419,19647336019673
484,062271003426,19647336019715
485,062271003448,19647336019855
486,062271003459,19647336019939
487,062271003462,19647336019954
488,062271003472,19647336020036
489,062271003473,19647336020044
490,062271002987,19647336057988
491,062271003187,19647336058150
492,062271003302,19647336058267
493,062271003062,19647336061477
494,062271003225,19647336061543
495,062271002905,19647336071435
496,062271002935,19647336094726
497,062271003252,19647336097927
498,062271003245,19647336112536
499,062271007522,19647336114912
500,062271008027,19647336116750
501,062271008030,19647336117048
502,062271008508,19647336117667
503,062271008721,19647336119044
504,062271008724,19647336119531
505,062271010522,19647336119903
506,062271010524,19647336119945
507,062271010525,19647336120471
508,062271010526,19647336120489
509,062271010530,19647336121081
510,062958012022,19648570112714
511,062958013029,19648570125377
512,062958010531,19648576119580
513,062994012028,19648810113464
514,062994011929,19648810113472
515,062994011918,19648810113894
516,062994012366,19648810118075
517,062994013386,19648810128017
518,063132012112,19649070115170
519,063132004864,19649076021984
520,064200012034,19650940112706
521,064200007533,19650946023527
522,064251011906,19651360114439
523,064251012191,19651360117234
524,064251012655,19651360121731
525,064251008070,19651361996263
526,063375012477,19734520120600
527,063442507165,19752911996016
528,060000113121,19753090127100
529,060000113793,19753090129411
530,060000113764,19753090129742
531,060000113838,19753090130955
532,060000113828,19753090131201
533,060000113829,19753090131383
534,060000113867,19753090131540
535,060000113853,19753090131557
536,060000113859,19753090131987
537,060000113903,19753090132191
538,060000113904,19753090132654
539,060000113785,19753090133231
540,060000113785,19753090129841
541,060013411208,19756636120158
542,060013611207,19756971996693
543,060132312119,19764970115725
544,060133612404,19765470118760
545,060142812208,19768690119016
546,060142812410,19768690119636
547,060142813702,19768690128728
548,060142813832,19768690131128
549,060143012271,19768850132928
550,060143012271,19768850130799
551,069101712301,20102070117184
552,069101710539,20102072030229
553,060408013800,20651850129015
554,062334011160,20652430100016
555,062334010951,20652430107938
556,062334012209,20652430118950
557,060011613035,20756060125021
558,060011607170,20756060132936
559,060016010541,20764142030237
560,060016010251,20764146110076
561,069101804617,21102152130102
562,062772006035,21654176113229
563,063600008732,21654746118491
564,062394013041,22655320125823
565,060309008155,23655576116669
566,061407012818,23655650123737
567,063372003304,23656072330272
568,064030012026,23656150115055
569,064030008520,23656152330413
570,064030010552,23656152330454
571,064030008521,23656156117386
572,064256011686,23656230112300
573,064256013021,23656230125658
574,064256008213,23656232330363
575,069102010960,24102490106518
576,062274013026,24657550125575
577,069105212994,26102640124990
578,069105213123,26102640126698
579,069102111695,27102720112177
580,069102112864,27102720124297
581,069102113148,27102720125765
582,069102108529,27102722730232
583,060195010558,27659616119663
584,062553013758,27660920129239
585,062553010560,27660922730240
586,062553008744,27660926118962
587,060003112240,27751500118349
588,062664010975,28662660108605
589,062664004039,28662666026983
590,062664004695,28662666113302
591,069102311975,29102980114314
592,069102311992,29102980114322
593,069102311940,29102980114330
594,069102311840,29102980114975
595,069102311839,29102980126219
596,069102311839,29102980114306
597,069102311877,29102980126227
598,069102311877,29102980114298
599,069102313819,29102980130823
600,069102308230,29102982930147
601,060834013003,29663160125013
602,061578002267,29663326111140
603,062682003350,29663406112593
604,062688012922,29663570124834
605,064038006681,29664076027197
606,060142702295,29768776111371
607,069102413076,30103060126037
608,069102413905,30103060132613
609,060261013858,30664230131417
610,060744010983,30664640106765
611,060744012651,30664640123729
612,060744012855,30664640124743
613,060744008542,30664646117758
614,060744011221,30664646120356
615,062865004450,30666216085328
616,062865004426,30666216094874
617,063531011223,30666700101626
618,063531010989,30666700106567
619,063531010992,30666700109066
620,063531008546,30666703030723
621,063531008755,30666706119127
622,063386005298,30736356030183
623,069102512392,31103140119214
624,069102513072,31103140126904
625,060168000037,31667616031009
626,060348013170,31667870126664
627,060348000265,31667876031033
628,062271011353,19647330100768
629,062256012246,31668450117150
630,062256012569,31668450121418
631,062712011001,31668520109827
632,062712012515,31668520120105
633,062712012790,31668520121608
634,062712013495,31668520127902
635,062712013641,31668520127928
636,063877012628,31669440121624
637,064214012754,31669510122507
638,064214003557,31669513130168
639,060001312012,31750850114371
640,060001312302,31750850117879
641,060001312390,31750850119487
642,060001313722,31750850128561
643,060001308762,31750856118392
644,063117007601,32669693230083
645,069102611707,33103300110833
646,069102612986,33103300125237
647,069102612985,33103300125385
648,069102613694,33103300128397
649,069102613730,33103300128777
650,060429013150,33669930127142
651,061111001234,33670586031959
652,061111001231,33670586031991
653,061692012464,33670820120675
654,061692013707,33670820128363
655,062454011023,33671160109843
656,062580003589,33671243330685
657,062778013025,33671570125245
658,062778013024,33671570125666
659,062778010350,33671573331014
660,062955004562,33671736032411
661,063018008940,33671996105571
662,063021011184,33672070101170
663,063315013116,33672150126128
664,063315013908,33672150132498
665,063444007219,33672496114748
666,060907012684,33736760121673
667,060002712433,33751760120204
668,060002808564,33751923330917
669,060002803648,33751926112551
670,060143413941,33769430132522
671,069102712959,34103480124651
672,061233011727,34673140111732
673,061233008275,34673146112254
674,061260013554,34673220127860
675,061389011068,34673300106757
676,063311012128,34674130114660
677,063324013882,34674210132019
678,063384011199,34674390101048
679,063384011198,34674390101295
680,063384011196,34674390101881
681,063384011195,34674390101899
682,063384011194,34674390101907
683,062805010728,01612590109983
684,063384011190,34674390102038
685,063384011189,34674390102343
686,063384011076,34674390106898
687,062805007941,01612596117394
688,063384011732,34674390111757
689,060285012407,07616480119586
690,063384012652,34674390121665
691,063384012810,34674390123901
692,063384012998,34674390125591
693,063384005224,34674396033799
694,063462011733,34674470112169
695,063462011902,34674470114983
696,063462012449,34674470120469
697,063462012785,34674470121467
698,063462013656,34674470128124
699,063462013910,34674470132399
700,063462008578,34674473430691
701,063462008283,34674473430717
702,063462008284,34674473430758
703,060790011081,34739730106377
704,060141512704,10767780122770
705,063633012850,15637680124842
706,060003611087,34752830108860
707,060003611735,34752830112425
708,060003612523,34752830120113
709,060969012489,16638910120154
710,060003613189,34752830126060
711,060003607250,34752833430659
712,060133211200,34765050101766
713,060133211070,34765050101832
714,060133211073,34765050108415
715,060133211074,34765050108795
716,060133211072,34765050108837
717,060133211916,34765050113878
718,069107810894,19101990109918
719,060133211951,34765050114272
720,061704012461,19646000120543
721,061704012508,19646000120550
722,060133213830,34765050130757
723,060133204148,34765056033336
724,060133205023,34765056112643
725,060143213940,34769350132480
726,061734013525,35674700127688
727,069102912150,36103630115808
728,062271010892,19647330109876
729,060171012521,36675870120592
730,060171013723,36675870128462
731,062271013390,19647330127951
732,064251010915,19651361996511
733,060846012752,36676780121590
734,062712013689,31668520128751
735,061686012368,36677360116723
736,061686013671,36677360128439
737,061686013836,36677360130948
738,061686013808,36677360131151
739,062610012418,37682130119263
740,062895011739,36678270111807
741,062895011863,36678270113928
742,069103111968,39103970114447
743,060004712453,39754990120519
744,063207008292,36678433630928
745,063639012231,41690620118232
746,063417011105,36678760107730
747,063417011108,36678760109850
748,063417011985,36678760114405
749,063417012377,36678760117192
750,060528013441,42691120127704
751,063417012466,36678760120006
