CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3801-3802,3901-3902,4100,4200,4300,4400,4700,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
10041046119523,141992.26,0.0,0.0,0.0,16365.5,0.0,8575.0,36075.0,16165.66,10600.95,4086.17,8431.73,13706.2,1676.13,15494.91,0.0,0.0,0.0,0.0,2425.26,22114.59,8107.87,952.22,6371.44,805.25,3453.83,5727.7,72670.23,26867.19,3458.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3494.0,0.0,0.0,0.0,188711.0,0.0,0.0,0.0,0.0,0.0,0.0,19385.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88352.64,0.0,0.0,1452.71,0.0,27674.22,0.0,0.0,18100.0,0.0,0.0,6496.72,760.0,0.0,0.0,0.0,0.0,0.0,18100.0,0.0,0.0,0.0,0.0,0.0,110222.85,108672.89,2996.11,50128.64,75800.14,0.0
10108106085112,1553713.0,0.0,148445.0,22008.0,96066.0,107072.0,50000.0,172315.0,0.0,133362.0,33826.0,58769.0,424611.0,12868.0,80065.0,0.0,0.0,0.0,32867.0,849.0,40131.0,2857.0,0.0,21377.0,0.0,31492.0,98000.0,31683.0,880239.0,10459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2612206.0,0.0,0.0,0.0,0.0,0.0,0.0,218201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602357.0,0.0
10348340106773,5649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,432.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,38720.0,1148.0,1542.0,0.0,0.0,0.0,0.0,6353.0,0.0,0.0,35318.0,0.0,0.0,0.0,0.0,9698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67407.0,0.0,0.0,1476.0,0.0,0.0
10439430102905,320421.0,0.0,120648.0,0.0,28454.0,0.0,0.0,89420.0,0.0,22756.0,0.0,7945.0,39389.0,3562.0,24662.0,0.0,0.0,31320.0,44871.0,0.0,25647.0,50437.0,4750.0,13827.0,2074.0,1732.0,16512.0,63157.0,127347.0,14424.0,0.0,0.0,0.0,0.0,0.0,1528.0,0.0,0.0,62739.0,0.0,7929.0,0.0,20678.0,255719.0,453321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44200.0,0.0,0.0,0.0,0.0,35072.0,0.0,0.0,333352.0,0.0,1080.0,127348.0,0.0,3335.0,0.0,8446.0,74793.0,77072.0,0.0,0.0,21577.0,0.0,0.0,3335.0,0.0,0.0,0.0,0.0,0.0,331856.0,362189.0,0.0,429547.0,0.0,0.0
10439430106534,549029.84,0.0,139275.0,3467.36,45979.15,18895.91,12300.0,7344.11,74750.37,55217.58,0.0,22775.24,54240.01,8255.35,29769.6,0.0,0.0,3241.05,72074.66,39382.81,76351.6,37438.98,2094.36,7752.51,1327.0,3266.53,2946.02,5045.74,274832.17,8410.63,0.0,0.0,0.0,0.0,0.0,11975.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239543.8,0.0,0.0,0.0,0.0,231689.37,0.0,0.0,52344.55,0.0,52226.22,97792.53,0.0,180000.0,0.0,0.0,0.0,0.0,52344.55,0.0,0.0,0.0,0.0,0.0,245666.86,0.0,0.0,824949.29,210674.0,0.0
10447444430252,1485063.0,0.0,81206.0,22968.0,0.0,0.0,0.0,133989.0,0.0,124621.85,30446.0,0.0,0.0,10676.0,46211.0,0.0,3899.96,0.0,35707.0,0.0,123245.0,40685.0,0.0,23239.0,2401.0,1605.0,62361.0,204270.0,316951.0,11559.0,0.0,0.0,0.0,0.0,0.0,66964.0,0.0,0.0,0.0,0.0,9599.0,0.0,40000.0,0.0,738179.0,-29126.0,0.0,0.0,0.0,0.0,0.0,85841.0,25000.0,0.0,777.0,0.0,0.0,800533.76,0.0,219691.0,0.0,0.0,0.0,0.0,4239.0,122327.0,0.0,0.0,2000.0,353914.0,37404.0,0.0,67197.0,2066.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356037.76,919755.89,283847.07,672414.0,99801.61,63622.0
61119010130625,296713.67,0.0,34999.98,0.0,21900.0,28393.42,48000.0,36201.16,0.0,0.0,0.0,12023.53,19070.04,6305.74,19275.38,28893.75,0.0,0.0,12692.87,4153.61,43388.52,2228.85,6072.67,5744.92,1961.4,2384.64,15883.77,3666.72,44150.27,6746.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327806.92,-1934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2822.0,0.0,0.0,0.0,0.0,181791.3,0.0,0.0,0.0,0.0,0.0,52875.83,0.0,0.0,0.0,0.0,4172.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230494.48,227283.33,-3046.65,111945.94,15193.04,47987.0
61259010100065,501433.36,0.0,0.0,0.0,0.0,31228.84,0.0,37293.66,22070.0,33409.73,0.0,8584.52,86449.9,1224.42,33651.53,0.0,0.0,11488.44,28824.08,30523.0,23802.78,27423.86,0.0,1366.69,2991.87,15521.25,17288.52,225439.58,236806.86,3963.98,0.0,0.0,0.0,0.0,0.0,20349.09,0.0,0.0,0.0,0.0,12706.3,0.0,0.0,0.0,734092.99,0.0,0.0,0.0,0.0,0.0,0.0,282353.24,0.0,0.0,0.0,29236.98,0.0,0.0,0.0,163706.51,1060.26,0.0,0.0,0.0,80892.68,0.0,0.0,7705.67,12360.0,25169.91,100731.94,0.0,50000.0,25000.0,0.0,1060.26,0.0,7705.67,0.0,0.0,0.0,0.0,0.0,106397.16,777.53,56354.81,3234.38,57148.42,0.0
61259010100123,32507.96,0.0,78342.04,0.0,0.0,71262.47,0.0,13751.99,0.0,0.0,0.0,9944.99,9577.43,1744.18,4902.0,0.0,0.0,0.0,0.0,0.0,1994.21,0.0,0.0,1100.0,20.0,3140.0,145518.42,115201.17,43915.17,4951.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209628.27,0.0,0.0,0.0,0.0,0.0,0.0,30907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87882.9,0.0,0.0,0.0,0.0,19520.8,0.0,0.0,15000.0,0.0,116796.3,42327.18,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,166872.82,28799.0,256451.0,10926.09,49816.01,0.0
61259010106468,67521.6,0.0,0.0,0.0,20000.0,0.0,23200.0,8250.0,0.0,0.0,0.0,7025.0,10500.0,4750.0,3980.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,100.0,0.0,10100.0,2500.0,7300.0,0.0,0.0,0.0,10100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89743.59,0.0,0.0,0.0,0.0,0.0,0.0,37483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.4,0.0,0.0,0.0,0.0,0.0
