CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9730,9740,9770,"9775, 9780",9790,9791,"9793, 9795",LocalRevAO,StateRevAO,StateRevSE
01100170109835,3311245.74,0.0,450139.1,0.0,0.0,453902.48,1082151.49,0.0,0.0,322973.42,135237.79,153108.44,311752.84,76857.86,64663.88,0.0,0.0,0.0,0.0,388439.13,0.0,66156.84,23508.48,1921.86,0.0,26584.8,18445.25,48079.4,269560.22,1052219.91,2109986.28,59195.33,0.0,0.0,0.0,0.0,0.0,145192.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7571271.0,0.0,0.0,0.0,0.0,0.0,0.0,111222.0,351088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496526.3,0.0,0.0,0.0,0.0,0.0,3572973.02,0.0,37054.4,145914.18,681979.94,449938.49,0.0,3500000.0,0.0,0.0,0.0,0.0,37054.4,0.0,0.0,0.0,329319.57,0.0,618135.3,932159.27,-353646.0,9739.55,2207862.24,726136.26
01100170112607,682332.17,40669.94,177833.29,0.0,3167.67,42999.96,30852.04,65077.47,0.0,75388.35,0.0,22378.79,101464.31,14416.68,12857.65,0.0,0.0,0.0,1916.0,9051.02,1479.0,28746.01,8684.9,37848.12,301597.08,1135.14,2356.8,15576.17,159148.6,334379.34,85726.97,14965.8,0.0,0.0,0.0,0.0,0.0,99074.54,0.0,0.0,0.0,201294.85,0.0,2076.0,0.0,0.0,0.0,1275077.0,-2730.0,0.0,0.0,0.0,0.0,0.0,394843.0,194655.49,40110.0,24009.18,67264.0,0.0,0.0,0.0,0.0,58632.56,0.0,0.0,0.0,0.0,593432.13,0.0,0.0,1000.0,0.0,487558.56,150260.83,0.0,0.0,296053.0,490032.38,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,203277.04,204277.04,0.0,22973.85,439496.14,118796.0
01100170118489,736430.0,38048.0,91390.0,0.0,62067.0,77330.0,0.0,49890.0,65450.0,65894.0,25260.0,32929.0,131581.0,7230.0,10395.0,0.0,0.0,0.0,11039.0,0.0,40172.0,27791.0,15610.0,45010.0,0.0,12920.0,13989.0,7785.0,26927.0,139288.0,98600.0,27094.0,0.0,0.0,0.0,0.0,0.0,77260.0,0.0,0.0,169375.0,0.0,0.0,0.0,0.0,0.0,0.0,1121580.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,50916.0,34202.0,39782.0,37116.0,0.0,0.0,0.0,0.0,373470.0,0.0,0.0,0.0,0.0,413039.0,0.0,0.0,0.0,11000.0,121736.0,144129.0,0.0,485000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290116.0,160446.82,-1.82,589620.0,281428.0,80973.0
01100176001788,1707531.0,0.0,203280.0,0.0,0.0,387849.0,65129.0,0.0,0.0,142702.0,50286.0,61170.0,373811.0,20587.0,32093.0,0.0,0.0,0.0,0.0,28161.0,1457.0,61873.0,28983.0,19606.0,0.0,7620.0,2950.0,8528.0,37574.0,175515.0,1102868.0,16211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836340.0,0.0,0.0,0.0,0.0,0.0,0.0,731889.0,172083.0,0.0,0.0,195129.0,0.0,0.0,0.0,0.0,42997.0,0.0,0.0,0.0,0.0,1913898.0,0.0,0.0,31115.0,0.0,0.0,1432919.0,0.0,0.0,0.0,0.0,0.0,0.0,31115.0,0.0,0.0,0.0,0.0,0.0,523976.0,986987.24,1663.76,8005.0,939905.0,218873.0
01611190119222,964129.37,0.0,206988.88,57238.68,47731.78,39151.42,0.0,0.0,58567.04,102022.34,11963.75,26811.05,101767.96,9834.88,27081.6,0.0,0.0,0.0,0.0,30655.5,5802.43,51668.24,114732.04,22896.48,0.0,8008.01,3033.49,18785.04,87675.0,20549.32,395020.47,8577.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136355.0,0.0,0.0,0.0,0.0,0.0,0.0,618351.0,147925.28,48062.0,10471.24,0.0,0.0,0.0,0.0,0.0,34720.69,0.0,0.0,0.0,0.0,784053.81,0.0,0.0,4899.87,0.0,8261.6,347551.98,0.0,164684.0,0.0,0.0,0.0,0.0,4899.87,0.0,0.0,16684.0,0.0,0.0,298116.12,280707.96,0.0,84757.08,270720.73,143042.0
01611190122085,1429669.11,0.0,152735.34,9600.0,151098.6,0.0,205197.16,0.0,137372.66,129089.94,0.0,62593.0,69731.42,27961.02,21435.15,0.0,990.0,0.0,0.0,45253.29,7617.16,77320.35,19111.98,4191.58,0.0,11349.06,5639.0,27897.69,129613.99,2744.6,1001834.6,3695.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730313.11,0.0,0.0,0.0,0.0,0.0,0.0,961051.75,502519.0,0.0,0.0,111060.0,0.0,0.0,0.0,0.0,222019.11,0.0,0.0,0.0,0.0,1132732.07,0.0,0.0,0.0,0.0,0.0,842419.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512331.36,0.0,0.0,50674.17,575401.19,315054.22
01611190130609,707878.65,202250.04,0.0,61570.24,61090.93,458.19,0.0,40750.08,28886.35,74520.92,14865.21,27059.89,42799.13,9156.26,21278.4,0.0,0.0,0.0,0.0,6781.28,24831.5,63251.3,50989.64,20598.33,0.0,2407.63,3993.0,14759.67,45705.0,9811.19,253702.02,5714.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999354.0,0.0,0.0,0.0,0.0,0.0,0.0,492067.0,55290.0,0.0,6886.86,0.0,0.0,0.0,0.0,0.0,255202.99,0.0,0.0,0.0,0.0,774629.4,277968.0,0.0,33723.13,0.0,0.0,390931.14,0.0,220000.0,0.0,0.0,0.0,0.0,33723.13,0.0,0.0,27796.0,0.0,0.0,669073.24,0.0,549575.0,157545.39,156631.92,108352.0
01611190130625,195719.44,0.0,83347.91,18463.06,30846.14,80879.61,35910.43,69858.49,0.0,0.0,0.0,7733.95,30920.84,8116.16,7143.5,33069.3,0.0,0.0,383.71,0.0,8986.0,12632.39,0.0,3900.21,0.0,1827.98,822.76,5616.23,50560.52,31700.27,199250.41,3787.6,0.0,0.0,0.0,0.0,0.0,4500.0,6592.0,0.0,0.0,0.0,0.0,553.95,0.0,0.0,0.0,433426.0,4826.0,0.0,0.0,0.0,0.0,0.0,188573.0,77776.67,0.0,0.0,36485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140760.2,0.0,0.0,0.0,0.0,89956.22,6592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224124.42,148283.27,87146.0,92767.62,87963.72,0.0
01611920108670,1106216.0,141636.0,264738.0,0.0,6461.0,0.0,0.0,165774.0,23151.0,117818.0,0.0,24617.0,166713.0,14897.0,34155.0,0.0,0.0,0.0,18478.0,25368.0,0.0,88104.0,49044.0,115752.0,57649.0,32627.0,14311.0,17584.0,82202.0,373727.0,99402.0,20828.0,0.0,0.0,0.0,0.0,0.0,21189.0,0.0,23772.0,416177.0,111258.0,0.0,6776.0,0.0,0.0,0.0,1825280.0,-18048.0,0.0,0.0,0.0,0.0,0.0,742124.0,133073.0,78628.0,69226.0,98406.0,0.0,0.0,0.0,0.0,523963.0,0.0,0.0,0.0,0.0,943400.0,0.0,0.0,29050.0,5210.0,177289.0,190071.0,42569.0,0.0,0.0,0.0,0.0,0.0,29050.0,0.0,0.0,0.0,0.0,0.0,1417221.0,1106675.0,0.0,275636.0,581922.0,193773.0
01611920113902,1024214.08,41417.46,237551.52,0.0,3500.0,0.0,0.0,79134.21,0.0,106051.52,0.0,24801.78,144155.76,15587.12,17135.76,0.0,0.0,0.0,1916.0,20645.93,163.57,53383.94,8408.34,64883.2,752475.74,3122.34,4024.69,17734.66,83504.68,67686.33,105890.84,15026.7,0.0,0.0,0.0,0.0,0.0,42561.93,0.0,0.0,0.0,232976.35,0.0,1136.0,0.0,0.0,0.0,1747233.0,-14962.0,0.0,0.0,0.0,0.0,0.0,675140.0,106591.61,57258.0,45480.32,63815.0,0.0,0.0,0.0,0.0,85043.18,0.0,0.0,0.0,0.0,597018.26,0.0,0.0,500.0,874455.76,175313.42,150493.18,0.0,50000.0,476574.0,537955.36,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,516808.08,517308.08,0.0,28529.02,285841.5,174164.0
