CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3801-3802,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8012,8015,8019,8020-8039,8040-8079,8080-8089,"8091, 8097",8092,8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9400-9499,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
1010108111682,188967.77,2514.05,30710.52,0.0,23133.88,0.0,35550.0,14857.5,0.0,16060.51,0.0,8653.11,671.4,3253.15,6358.54,0.0,0.0,0.0,0.0,0.0,2098.27,7401.09,201.78,0.0,0.0,3704.61,10351.26,0.0,5869.35,15997.53,10835.32,3774.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3296.0,0.0,0.0,45000.0,0.0,68284.0,185227.0,-313.0,0.0,0.0,0.0,0.0,0.0,37181.0,19834.4,0.0,0.0,9203.0,45000.0,0.0,83479.18,0.0,0.0,0.0,0.0,0.0,0.0,93344.69,0.0,0.0,0.0,0.0,0.0,71592.17,0.0,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,6375.75,0.0,0.0,0.0,0.0,0.0,14855.94,-37416.08,14946.78,0.0,0.0,51580.97,66964.12,0.0
1010108119628,340192.96,0.0,112565.88,2700.0,4680.0,33207.97,0.0,54997.25,2980.0,31699.38,11073.23,14551.07,13472.92,6109.93,12501.22,0.0,0.0,0.0,11439.09,1934.02,715.71,12115.76,5672.67,68604.0,0.0,9493.24,8643.01,17160.72,39214.43,89518.43,220683.79,13452.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8397.2,287.0,0.0,0.0,0.0,153750.0,492112.0,-32291.0,0.0,0.0,0.0,0.0,0.0,72965.63,0.0,3504.0,73245.72,49777.0,0.0,0.0,0.0,0.0,69038.6,0.0,0.0,0.0,0.0,372457.06,12396.42,0.0,13428.78,0.0,0.0,135666.97,22208.62,304579.88,0.0,48740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43874.61,0.0,-7172.54,-70536.07,0.0,0.0,112331.88,231625.03,24877.0
1010108125260,121010.0,0.0,16500.0,0.0,0.0,10953.0,0.0,35000.0,0.0,9623.33,0.0,5610.77,39601.16,3311.39,7686.0,0.0,0.0,0.0,0.0,11814.48,0.0,6885.57,31196.03,30421.83,0.0,964.18,900.0,0.0,20340.0,38170.09,147405.39,3562.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58047.0,182272.0,0.0,0.0,0.0,0.0,0.0,0.0,31067.96,116401.17,0.0,5573.39,0.0,0.0,0.0,0.0,0.0,159685.25,0.0,0.0,0.0,0.0,203650.07,0.0,0.0,0.0,0.0,0.0,25861.43,0.0,0.0,122368.83,266554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51448.94,0.0,0.0,0.0,0.0,0.0,18214.66,77930.17,0.0
10101086085112,1834231.0,0.0,112300.0,0.0,0.0,42299.0,78592.0,48967.0,237327.0,168818.0,34469.0,187028.0,404362.0,34491.0,38299.0,0.0,0.0,0.0,0.0,35077.0,0.0,58910.0,41589.0,0.0,413248.0,4186.0,0.0,22060.0,253381.0,3117.0,31408.0,30470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534282.0,1693827.0,0.0,0.0,0.0,0.0,0.0,0.0,284705.0,0.0,0.0,0.0,264024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9184.0,1328607.0,0.0
10621661030642,478255.13,0.0,257687.53,0.0,212101.12,0.0,0.0,116655.54,0.0,0.0,0.0,79482.24,207999.01,8875.27,24442.09,0.0,0.0,0.0,0.0,0.0,4304.03,12726.64,0.0,44991.07,0.0,6691.78,0.0,8734.85,0.0,175827.95,249109.45,9740.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999276.0,0.0,0.0,0.0,0.0,33630.55,0.0,104478.44,146603.21,0.0,0.0,87132.72,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,103768.95,0.0,0.0,0.0,0.0,83896.64,149455.87,0.0,0.0,38509.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18227.26,508275.91,0.0
10621661030667,469213.35,0.0,69243.42,67940.36,0.0,38531.15,0.0,161906.47,0.0,37977.31,0.0,26934.51,99007.04,10192.43,28705.88,0.0,0.0,0.0,9326.03,0.0,12301.36,34477.58,0.0,15170.31,136217.42,13552.3,2201.0,4443.0,50493.58,143366.39,118273.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100399.02,99569.08,0.0,0.0,0.0,0.0,0.0,240024.0,775420.0,0.0,0.0,0.0,0.0,0.0,0.0,106739.0,0.0,0.0,0.0,54566.0,0.0,0.0,0.0,0.0,108524.75,0.0,0.0,0.0,0.0,827858.25,0.0,0.0,9230.0,0.0,0.0,16061.69,385837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338675.82,0.0,478582.33,-13694.75,0.0,205038.49,18061.22,633458.76,0.0
10621661030840,586175.0,256393.0,205804.0,0.0,3785.0,79907.0,0.0,153012.0,0.0,86503.0,0.0,32272.0,118093.0,13994.0,23359.0,0.0,0.0,0.0,4281.0,0.0,0.0,130031.0,0.0,39063.0,0.0,7681.0,3727.0,21155.0,64695.0,322936.0,253023.0,52126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20457.0,7694.0,0.0,0.0,0.0,410067.0,1324366.0,-8475.0,0.0,0.0,0.0,0.0,0.0,182751.0,0.0,0.0,17675.0,152143.0,0.0,0.0,0.0,0.0,47304.0,0.0,0.0,0.0,0.0,1029823.0,0.0,0.0,5873.0,0.0,0.0,125283.0,23992.0,154354.0,0.0,0.0,0.0,0.0,5873.0,0.0,0.0,0.0,0.0,0.0,220000.0,0.0,553498.0,686053.0,65093.0,0.0,0.0,11761.0,424103.0,0.0
1062166106740,589018.6,0.0,0.0,0.0,29341.02,87473.02,81499.92,71312.34,64958.54,48530.75,0.0,33485.17,132452.17,15792.02,20300.0,0.0,0.0,0.0,885.0,61980.37,499.77,38872.66,27510.58,199932.59,90413.89,8047.95,4324.88,25632.13,46297.52,122680.55,799553.05,15979.65,0.0,0.0,0.0,0.0,0.0,5450.8,0.0,0.0,0.0,0.0,0.0,2076.0,0.0,0.0,0.0,342578.0,1077858.23,3654.08,0.0,0.0,0.0,0.0,0.0,181216.24,137330.0,0.0,91187.98,0.0,0.0,0.0,342578.01,0.0,271245.28,0.0,0.0,0.0,0.0,506555.8,0.0,0.0,227.07,0.0,0.0,256142.9,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364463.26,0.0,510938.31,1290.0,0.0,0.0,118229.91,524481.45,0.0
1062166111633,650193.06,0.0,105227.59,0.0,14678.96,14946.1,81376.93,0.0,61428.98,59113.76,15076.81,24202.94,157606.05,10935.51,18388.0,0.0,0.0,0.0,4695.31,456.0,0.0,53008.42,1348.16,155232.71,0.0,7644.25,1700.0,13564.5,38987.22,172325.58,299594.79,11128.13,0.0,0.0,0.0,0.0,0.0,52855.96,0.0,0.0,0.0,0.0,0.0,55644.65,0.0,0.0,0.0,307813.0,967195.43,919.0,0.0,0.0,0.0,0.0,0.0,164106.78,0.0,0.0,148469.99,101066.0,0.0,0.0,307813.0,0.0,49328.65,0.0,0.0,0.03,0.0,459749.93,0.0,0.0,22794.8,322.38,684365.25,225235.87,0.0,0.0,0.0,489923.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809214.33,0.0,502948.98,-1.0,0.0,0.0,55833.46,642223.06,0.0
1062166114355,1727623.81,78852.15,133976.56,65428.2,57745.04,106107.58,252749.12,109161.6,0.0,165346.2,0.0,67255.75,736072.39,31918.96,35695.77,0.0,0.0,0.0,24323.59,23670.38,370.84,60230.77,14885.22,0.0,0.0,2546.65,7905.5,36276.27,58597.54,274272.65,265781.99,10689.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796544.0,2544560.0,0.0,0.0,0.0,0.0,0.0,0.0,384460.0,0.0,0.0,0.0,160601.0,0.0,0.0,0.0,0.0,387214.07,0.0,0.0,0.0,0.0,2037.23,1788912.47,0.0,115120.75,0.0,0.0,35762.76,5286.34,0.0,0.0,0.0,0.0,0.0,115120.75,0.0,0.0,0.0,0.0,0.0,989957.89,0.0,1147156.78,2058325.31,0.0,0.0,0.0,6673.17,514963.52,133592.25
