CDSCode,1100,1200,1300,1900,2100,2200,2300,2400,2900,3101-3102,3201-3202,3301-3302,3401-3402,3501-3502,3601-3602,3701-3702,3751-3752,3901-3902,4100,4200,4300,4400,4700,5100,5200,5300,5400,5500,5600,5800,5900,6100-6170,6200,6300,6400,6500,6900,7110-7143,7211-7213,7221-7223AO,7221-7223SE,7281-7299,7438,7439,7630-7699,8011,8012,8019,"8091, 8097",8096,"8110, 8260-8299","8181, 8182",8220,8290,8930-8979,8980-8999,9110,9111,9120,9130,9135,9140,9150,9200,9290,9320,9330,9340,9500,9590,9640,9650,9660-9669,9711,9712,9713,9719,9740,9750,9760,9780,9789,9790A,9790M,9791,"9793, 9795",9796,9797,LocalRevAO,StateRevAO,StateRevSE
01100170109835,3440632.0,0.0,341003.0,0.0,236520.0,0.0,162132.0,621356.0,0.0,292154.0,109395.0,141397.0,298338.0,8032.0,62771.0,0.0,0.0,0.0,300791.0,1247.0,105448.0,108102.0,29428.0,0.0,16266.0,19147.0,79614.0,216703.0,1127535.0,1711895.68,90555.0,0.0,0.0,0.0,0.0,0.0,119965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7007383.0,1477793.0,0.0,0.0,124751.0,38882.0,205784.0,0.0,0.0,0.0,0.0,0.0,0.0,477499.0,0.0,0.0,0.0,0.0,2408788.0,0.0,0.0,76555.0,133352.0,742068.68,0.0,1845789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550544.16,0.0,526137.84,-331.0,0.0,294890.0,671533.0,433928.0,0.0
01100170112607,1025601.1,74432.0,249653.97,0.0,104625.21,106741.86,0.0,81739.56,0.0,111258.4,0.0,40842.11,177879.86,20526.59,22687.22,1517.76,0.0,1616.0,4539.77,3976.91,37371.86,7071.71,14076.59,0.0,2457.24,889.77,20622.58,90305.32,392042.54,129047.81,-4834.48,0.0,0.0,0.0,0.0,0.0,139961.47,0.0,0.0,0.0,0.0,355955.77,27624.81,0.0,0.0,1458033.0,425416.0,-6979.0,0.0,551798.0,84130.0,37465.0,0.0,0.0,0.0,0.0,0.0,0.0,115047.55,0.0,0.0,0.0,0.0,85.0,673258.59,0.0,0.0,3602.0,577857.97,0.0,0.0,0.0,373510.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204277.0,0.0,204277.0,0.0,0.0,0.0,152686.22,343671.09,194011.0
01100170118489,625614.8,232919.82,96116.9,0.0,97717.55,35565.03,0.0,69450.46,108830.39,77015.67,37053.55,42000.91,142823.33,6237.44,12477.9,0.0,0.0,18937.73,0.0,11229.01,49652.41,29127.8,52226.93,0.0,10628.02,16603.31,10026.54,26922.56,165687.08,133738.23,11952.58,0.0,0.0,0.0,0.0,0.0,21351.55,0.0,0.0,0.0,0.0,461109.84,0.0,0.0,0.0,1249854.01,266457.75,-6770.33,0.0,24171.58,110630.06,54613.0,38236.08,157797.68,0.0,0.0,0.0,0.0,634289.24,0.0,0.0,0.0,0.0,-102590.59,0.0,0.0,2215.5,11000.0,144229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297392.31,0.0,676335.26,-264434.26,0.0,185513.94,198740.61,417041.31,163250.84
01100170123968,416873.0,0.0,159594.26,0.0,293560.0,0.0,85432.43,17823.0,42772.9,51424.41,0.0,38573.0,77967.78,10143.46,21357.95,0.0,0.0,0.0,21368.32,2112.19,36212.0,4646.0,5.0,0.0,31707.0,3361.22,12819.29,51163.0,75886.0,351721.0,5903.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271.23,0.0,0.0,544623.0,173733.0,0.0,0.0,272659.0,0.0,14979.0,0.0,43612.0,0.0,0.0,0.0,0.0,176550.39,0.0,0.0,0.0,0.0,554760.04,0.0,0.0,8163.0,0.0,40315.0,0.0,0.0,72046.0,456429.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170682.94,0.0,103903.31,-114.0,0.0,0.0,308033.75,68264.18,456688.0
01100170124172,543615.15,0.0,0.0,23819.24,80576.32,0.0,177258.05,0.0,42982.97,46872.29,0.0,31349.32,73789.16,9941.35,21447.73,0.0,0.0,1416.0,40157.14,3063.84,27898.32,23094.17,63783.47,0.0,2585.83,1105.0,16953.44,25643.38,136649.17,510738.31,7600.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009232.0,222251.0,1.4,0.0,4714.0,0.0,19431.0,0.0,0.0,0.0,0.0,0.0,0.0,463741.64,0.0,0.0,0.0,0.0,438496.84,0.0,0.0,7487.09,30000.0,97309.92,0.0,0.0,0.0,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682803.04,0.0,368638.5,0.0,0.0,34612.61,687905.9,218469.73,99112.0
01100170125567,476818.32,0.0,193463.02,0.0,213865.74,0.0,0.0,68737.05,99120.75,57658.57,0.0,35555.67,69004.82,9294.63,15375.0,0.0,0.0,4715.08,0.0,3025.35,31757.07,9903.56,62381.84,0.0,1175.15,1774.0,14689.56,98174.42,103642.92,524763.26,5676.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,0.0,0.0,677479.0,220908.0,-324.0,0.0,348672.0,150000.0,23644.0,48834.29,32183.0,0.0,0.0,0.0,0.0,215532.31,0.0,0.0,0.0,0.0,471235.47,0.0,0.0,8030.0,0.0,524136.08,0.0,0.0,0.0,149554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30144.3,0.0,-153644.93,0.0,0.0,51252.0,503545.66,127293.32,143526.0
01100176001788,1624365.77,0.0,135598.13,0.0,0.0,293004.76,147368.61,108063.53,0.0,132587.0,52402.3,73061.0,418875.87,29963.32,43054.39,0.0,0.0,0.0,38158.92,0.0,71476.81,52058.34,13298.47,0.0,8401.84,3762.66,2604.8,113203.37,157250.7,1580176.34,7710.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4290.0,0.0,0.0,2378889.0,568116.0,0.0,0.0,899280.0,38170.0,96271.0,0.0,199445.0,0.0,0.0,0.0,0.0,345565.1,0.0,0.0,0.0,0.0,1074023.2,0.0,0.0,7682.24,0.0,545504.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883226.04,0.0,956748.0,-27488.0,0.0,0.0,1269.0,352989.87,530274.0
01100176002000,1224404.78,0.0,174478.23,0.0,0.0,107046.45,0.0,109010.96,0.0,93748.64,39210.6,45082.98,270528.16,19729.42,30753.17,0.0,0.0,0.0,106048.33,0.0,39304.32,31323.45,4004.33,0.0,20957.42,2492.98,1894.4,122092.7,133266.71,1191518.23,36711.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516595.0,417835.0,0.0,0.0,658513.0,278399.0,37948.0,0.0,161128.0,1210000.0,0.0,0.0,0.0,358527.98,0.0,0.0,0.0,0.0,910152.19,0.0,0.0,750.0,0.0,420522.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848907.77,0.0,803456.0,-1093817.0,0.0,0.0,6995.0,349191.38,306272.0
01611190119222,1607053.75,0.0,349827.18,57171.63,37739.89,0.0,121044.98,0.0,41605.59,151323.95,26593.65,43767.99,157833.72,23299.58,40795.07,0.0,0.0,0.0,629.16,10489.26,106364.67,68294.24,37129.88,0.0,8528.43,6277.89,29617.45,118195.87,22298.77,666427.61,16719.08,0.0,0.0,0.0,0.0,0.0,2065.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545538.0,553958.0,-1196.0,0.0,975630.0,0.0,66780.0,28914.35,0.0,0.0,0.0,0.0,0.0,846113.93,0.0,0.0,0.0,0.0,786712.38,0.0,0.0,1440.0,16846.47,303747.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296384.13,0.0,1039508.96,3567.0,0.0,50979.0,359782.78,253819.73,272155.0
01611190122085,1508373.86,0.0,277431.25,59500.63,65630.0,0.0,143672.0,67871.22,157255.85,147555.83,0.0,61446.89,240119.81,23282.27,36339.97,8991.81,0.0,1770.68,0.0,402.91,141020.38,129347.16,8442.31,0.0,12833.98,13334.31,26408.29,76491.59,57477.11,489416.99,12045.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,1436099.0,507425.0,-7257.0,0.0,909113.0,12618.0,52614.0,0.0,96974.0,0.0,0.0,0.0,0.0,481224.88,0.0,0.0,0.0,0.0,981832.28,0.0,0.0,52017.16,0.0,310808.47,0.0,77500.0,0.0,0.0,0.0,0.0,52017.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074749.44,1101406.0,-100752.0,0.0,0.0,221785.3,418715.75,244561.0
