School,District,City,State,Management Structure,Year Opened
ACE Alum Rock,Alum Rock Union Elementary,San Jose,CA,CMO,2014
ACE Franklin McKinley,Franklin-McKinley Elementary,San Jose,CA,CMO,2014
ASCEND,Oakland Unified School District,Oakland,CA,CMO,2012
Abernathy Collegiate Charter,Tehachapi Unified,Tehachapi,CA,Independent,2013
Abraxis Charter,Santa Rosa High School District,Santa Rosa,CA,Independent,2005
Acacia Elementary Charter,New Jerusalem Elementary,Stockton,CA,CMO,2013
Acacia Middle Charter,New Jerusalem Elementary,Stockton,CA,CMO,2013
Academia Avance Charter,Los Angeles County Office Of Education,Los Angeles,CA,Independent,2005
Academia Moderna,Los Angeles Unified School District,Walnut Park,CA,CMO,2009
Academia Semillas Del Pueblo,Los Angeles Unified School District,Los Angeles,CA,CMO,2002
Academic/Vocational Charter Institute,Pajaro Valley Unified School District,Watsonville,CA,Independent,1999
Academies of Antelope Valley,Antelope Valley Union High School District,Quartz Hill,CA,Independent,2012
Academy for Academic Excellence,Apple Valley Unified School District,Apple Valley,CA,CMO,1997
Academy for Civic & Entrepreneurial Leadership (ACEL Fresno),Fresno Unified School District,Fresno,CA,Independent,2009
Academy of Alameda,Alameda Unified School District,Alameda,CA,Independent,2010
Academy of Arts and Sciences: Del Mar Elementary (K-5),Mountain Empire Unified,San Diego,CA,CMO,2012
Academy of Arts and Sciences: Del Mar Middle and High (6-12),Mountain Empire Unified,San Diego,CA,CMO,2012
Academy of Arts and Sciences: El Cajon Elementary (K-5),Mountain Empire Unified,San Diego,CA,EMO,2012
Academy of Arts and Sciences: El Cajon Middle and High (6-12),Mountain Empire Unified,San Diego,CA,EMO,2012
Academy of Arts and Sciences: Fresno,Orange Center,Clovis,CA,EMO,2014
Academy of Arts and Sciences: Los Angeles (9-12),Acton-Agua Dulce Unified,Los Angeles,CA,EMO,2014
Academy of Arts and Sciences: Los Angeles (K-8),Acton-Agua Dulce Unified,Los Angeles,CA,EMO,2014
Academy of Arts and Sciences: Oxnard and Ventura,Mupu Elementary,Thousand Oaks,CA,EMO,2012
Academy of Arts and Sciences: San Joaquin,New Jerusalem Elementary,Stockton,CA,CMO,2014
Academy of Arts and Sciences: Sonoma,Cotati-Rohnert Park Unified,Rohnert Park,CA,EMO,2012
Academy of Arts and Sciences: Thousand Oaks and Simi Valley,Mupu Elementary,Thousand Oaks,CA,EMO,2012
Academy of Careers and Exploration,Helendale School District,Helendale,CA,Independent,2008
Academy of Culture and Technology,,,CA,Independent,2005
Academy of Science and Engineering,Los Angeles Unified School District,Los Angeles,CA,Independent,2012
Accelerated Achievement Academy,Ukiah Unified School District,Ukiah,CA,CMO,2002
Accelerated Charter High School (Wallis Annenberg High),Los Angeles Unified School District,Los Angeles,CA,CMO,2003
Accelerated Elementary Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2004
Accelerated School,Los Angeles Unified School District,Los Angeles,CA,CMO,1994
Ace Charter High,East Side Union High School District,San Jose,CA,CMO,2012
Ace Charter School,Santa Clara County Office Of Education,San Jose,CA,CMO,2008
Achieve Academy,Oakland Unified School District,Oakland,CA,CMO,2006
Achieve Charter School of Paradise Inc.,Paradise Unified School District,Paradise,CA,Independent,2005
Adelante Charter,Santa Barbara Unified,Santa Barbara,CA,Independent,2000
Alain Leroy Locke 3 College Preparatory Academy,Los Angeles Unified School District,Los Angeles,CA,CMO,2008
Alameda Community Learning Center,Alameda Unified School District,Alameda,CA,CMO,2001
Alan Rowe College Prep,Elk Grove Unified School District,Elk Grove,CA,Independent,2013
Albert Einstein Academy Charter School,San Diego Unified School District,San Diego,CA,CMO,2002
Albert Einstein Academy Elementary,Acton-Agua Dulce Unified,Santa Clarita,CA,CMO,2013
Albert Einstein Academy Middle,San Diego Unified School District,San Diego,CA,CMO,2006
"Albert Einstein Academy for Letters, Arts & Sciences - Aqua Dulce Partnership Academy",Acton-Agua Dulce Unified,Agua Dulce,CA,CMO,2014
"Albert Einstein Academy for Letters, Arts & Sciences Elementary School (Santa Clarita)",,Santa Clarita,CA,CMO,2014
Alfred B. Nobel Charter Middle,Los Angeles Unified School District,Northridge,CA,Independent,2012
Alianza Charter,Pajaro Valley Unified School District,Watsonville,CA,Independent,1999
All Tribes Charter,Warner Unified School District,Valley Center,CA,CMO,2008
All Tribes Elementary Charter,Warner Unified School District,Valley Center,CA,CMO,2010
Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,San Pedro,CA,CMO,2014
Alliance Christine O'Donovan Middle Academy,Los Angeles Unified School District,Los Angeles,CA,CMO,2008
Alliance College-Ready Academy High No. 11,Los Angeles Unified School District,Los Angeles,CA,CMO,2010
Alliance College-Ready Academy High No. 14,Los Angeles Unified School District,Los Angeles,CA,CMO,2012
Alliance College-Ready Academy High No. 16,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Alliance College-Ready Academy High No. 17,Los Angeles Unified School District,Los Angeles,CA,CMO,2012
Alliance College-Ready Academy High No. 5,Los Angeles Unified School District,Los Angeles,CA,CMO,2007
Alliance College-Ready Middle Academy 8,Los Angeles Unified,Los Angeles,CA,CMO,2014
Alliance College-Ready Middle Academy 9,Los Angeles Unified,Los Angeles,CA,CMO,2014
Alliance College-Ready Middle Academy No. 12,Los Angeles Unified,Los Angeles,CA,CMO,2013
Alliance College-Ready Middle Academy No. 4,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Alliance College-Ready Middle Academy No. 5,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Alliance Dr. Olga Mohan High,Los Angeles Unified School District,Los Angeles,CA,CMO,2006
Alliance Environmental Science and Technology High,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Alliance Gertz-Ressler High,Los Angeles Unified School District,Los Angeles,CA,CMO,2004
Alliance Health Services Academy High,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Alliance Heritage College-Ready Academy High,Los Angeles Unified School District,Los Angeles,CA,CMO,2005
Alliance Huntington Park College-Ready Academy High,Los Angeles Unified School District,Huntington Park,CA,CMO,2005
Alliance Jack H. Skirball Middle,Los Angeles Unified School District,Los Angeles,CA,CMO,2007
Alliance Marc & Eva Stern Math and Science,Los Angeles Unified School District,,CA,CMO,2006
Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,South Gate,CA,CMO,2014
Alliance Media Arts and Entertainment Design High,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Alliance Richard Merkin Middle,Los Angeles Unified School District,Los Angeles,CA,CMO,2005
Alliance Technology and Math Science High,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
