School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,School Level Code [Public School] 2012-13,School Level Code [Public School] 2011-12,School Level Code [Public School] 2010-11,Lowest Grade Offered [Public School] 2012-13,Lowest Grade Offered [Public School] 2011-12,Lowest Grade Offered [Public School] 2010-11,Highest Grade Offered [Public School] 2012-13,Highest Grade Offered [Public School] 2011-12,Highest Grade Offered [Public School] 2010-11,Prekindergarten offered [Public School] 2012-13,Prekindergarten offered [Public School] 2011-12,Prekindergarten offered [Public School] 2010-11,Kindergarten offered [Public School] 2012-13,Kindergarten offered [Public School] 2011-12,Kindergarten offered [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Free Lunch Eligible [Public School] 2012-13,Free Lunch Eligible [Public School] 2011-12,Free Lunch Eligible [Public School] 2010-11,Reduced-price Lunch Eligible Students [Public School] 2012-13,Reduced-price Lunch Eligible Students [Public School] 2011-12,Reduced-price Lunch Eligible Students [Public School] 2010-11,Free and Reduced Lunch Students [Public School] 2012-13,Free and Reduced Lunch Students [Public School] 2011-12,Free and Reduced Lunch Students [Public School] 2010-11,Prekindergarten and Kindergarten Students [Public School] 2012-13,Prekindergarten and Kindergarten Students [Public School] 2011-12,Prekindergarten and Kindergarten Students [Public School] 2010-11,Grades 1-8 Students [Public School] 2012-13,Grades 1-8 Students [Public School] 2011-12,Grades 1-8 Students [Public School] 2010-11,Grades 9-12 Students [Public School] 2012-13,Grades 9-12 Students [Public School] 2011-12,Grades 9-12 Students [Public School] 2010-11,Prekindergarten Students [Public School] 2012-13,Prekindergarten Students [Public School] 2011-12,Prekindergarten Students [Public School] 2010-11,Kindergarten Students [Public School] 2012-13,Kindergarten Students [Public School] 2011-12,Kindergarten Students [Public School] 2010-11,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Total Race/Ethnicity [Public School] 2012-13,Total Race/Ethnicity [Public School] 2011-12,Total Race/Ethnicity [Public School] 2010-11
100 BLACK MEN OF THE BAY AREA COMMUNITY,California,062805013190,4-Other,†,†,Kindergarten,†,†,12th Grade,†,†,2-No,†,†,1-Yes,†,†,87,†,†,18,†,†,0,†,†,18,†,†,17,†,†,70,†,†,0,†,†,†,†,†,17,†,†,87,†,†,0,†,†,0,†,†,0,†,†,2,†,†,83,†,†,1,†,†,0,†,†,1,†,†,87,†,†
180 PROGRAM,California,062772013070,4-Other,†,†,6th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,4,†,†,–,†,†,–,†,†,–,†,†,†,†,†,3,†,†,1,†,†,†,†,†,†,†,†,4,†,†,0,†,†,0,†,†,1,†,†,2,†,†,0,†,†,0,†,†,0,†,†,1,†,†,4,†,†
A PLACE TO GROW,California,062827013394,†,†,†,†,†,†,†,†,†,2-No,†,†,2-No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
A. E. ARNOLD ELEMENTARY,California,061044001166,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,714,725,738,200,–,167,70,–,78,270,363,245,80,72,92,634,653,646,–,†,†,†,†,†,80,72,92,360,376,382,354,349,356,0,3,3,282,277,277,176,180,173,37,34,37,183,193,203,4,2,4,32,36,41,714,725,738
A. G. CURRIE MIDDLE,California,064015006636,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,640,660,731,514,†,571,77,†,94,591,†,665,†,†,†,640,660,731,–,†,†,†,†,†,†,†,†,333,359,371,307,301,360,1,2,2,20,22,21,583,585,663,14,24,20,12,19,18,6,5,6,4,3,1,640,660,731
A. J. COOK ELEMENTARY,California,061488001834,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,380,369,395,232,†,226,29,†,63,261,†,289,48,39,81,332,330,314,–,†,†,†,†,†,48,39,81,204,194,226,176,175,169,0,0,0,269,258,261,88,91,105,4,4,7,11,11,17,4,5,5,4,0,0,380,369,395
A. J. DORSA ELEMENTARY,California,060231000103,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,525,539,527,517,536,363,0,–,102,517,536,465,82,82,80,443,457,447,–,†,†,†,†,†,82,82,80,274,289,278,251,250,249,0,0,0,25,20,19,480,503,498,2,3,0,2,0,0,9,8,9,7,5,1,525,539,527
A. L. CONNER ELEMENTARY,California,061970010780,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,407,389,364,393,†,274,0,†,25,393,†,299,80,76,75,327,313,289,–,†,†,†,†,†,80,76,75,211,201,189,196,188,175,0,1,0,1,2,2,395,377,356,4,4,2,7,4,3,0,0,0,0,1,1,407,389,364
A. M. THOMAS MIDDLE,California,062295007772,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,5th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,149,164,158,138,161,152,4,–,3,142,161,155,†,†,†,149,164,158,–,†,†,†,†,†,†,†,†,76,78,79,73,86,79,0,0,0,2,1,0,147,162,158,0,0,0,0,1,0,0,0,0,0,0,0,149,164,158
A. M. WINN WALDORF-INSPIRED,California,063384005217,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,335,375,375,241,†,228,40,†,70,281,†,298,39,60,50,296,315,325,–,†,†,†,†,†,39,60,50,149,178,187,186,197,188,3,1,0,25,29,28,101,97,99,45,65,72,142,163,162,0,2,0,19,18,14,335,375,375
