,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
0,100 BLACK MEN OF THE BAY AREA COMMUNITY,California,5,,,17.4,,,62805013190
1,180 PROGRAM,California,1.1,,,3.64,,,62772013070
2,A PLACE TO GROW,California,,,,,,,62827013394
3,A. E. ARNOLD ELEMENTARY,California,27.46,27.21,,26,26.64,,61044001166
4,A. G. CURRIE MIDDLE,California,24.87,26.54,,25.73,24.87,,64015006636
5,A. J. COOK ELEMENTARY,California,18.9,17.4,,20.11,21.21,,61488001834
6,A. J. DORSA ELEMENTARY,California,26.12,27.82,,20.1,19.37,,60231000103
7,A. L. CONNER ELEMENTARY,California,20,19,,20.35,20.47,,61970010780
8,A. M. THOMAS MIDDLE,California,8.2,10.2,,18.17,16.08,,62295007772
9,A. M. WINN WALDORF-INSPIRED,California,12,13.3,,27.92,28.2,,63384005217
10,ABBOTT MIDDLE,California,35.88,34,,21.21,22.74,,63492005896
11,ABBY REINKE ELEMENTARY,California,33.5,39.5,,26.69,23.09,,60002808271
12,ABC ADULT,California,,,,,,,60162012587
13,ABC SECONDARY (ALTERNATIVE),California,3.33,3.91,,30.93,27.88,,60162010232
14,ABERNATHY COLLEGIATE CHARTER,California,,,,,,,63888013102
15,ABRAHAM LINCOLN,California,19.33,21,,32.44,27.67,,62985004650
16,ABRAHAM LINCOLN ALTERNATIVE,California,3.1,3.6,,40.32,23.33,,63762002045
17,ABRAHAM LINCOLN CONTINUATION,California,9.71,11,,27.5,26.55,,63315005148
18,ABRAHAM LINCOLN ELEMENTARY,California,26,27,,28.35,26.67,,61111001230
19,ABRAHAM LINCOLN ELEMENTARY,California,29,30,,22.69,22.3,,60939000951
20,ABRAHAM LINCOLN ELEMENTARY,California,15,15.7,,31.53,30.76,,63384005218
21,ABRAHAM LINCOLN ELEMENTARY,California,28.5,28.28,,25.44,25.99,,61029001139
22,ABRAHAM LINCOLN ELEMENTARY,California,24.95,25.15,,15.03,15.15,,63581006125
23,ABRAHAM LINCOLN ELEMENTARY,California,18.75,18.25,,25.12,25.92,,61524001937
24,ABRAHAM LINCOLN ELEMENTARY,California,29.2,29,,22.91,21.45,,62724000755
25,ABRAHAM LINCOLN ELEMENTARY,California,38,38.55,,27.5,26.87,,63531005993
26,ABRAHAM LINCOLN HIGH,California,76.15,71.25,,23.45,24.62,,63459005696
27,ABRAHAM LINCOLN MIDDLE,California,45.74,45.12,,21.45,21.37,,63627001989
28,ABRAHAM LINCOLN SENIOR HIGH,California,63.01,122.09,,24.62,16.75,,62271003139
29,ABRAXAS CONTINUATION HIGH,California,14.5,11.3,,13.79,19.47,,63153004883
30,ABRAXIS CHARTER,California,2.05,3.05,,13.66,20,,63583011483
31,ACACIA ELEMENTARY,California,21,21,,32.24,30.9,,61473001790
32,ACACIA ELEMENTARY,California,20,21.05,,21.2,21,,60964001004
33,ACACIA MIDDLE,California,33.03,38.4,,24.46,23.13,,61692002148
34,ACAD FOR MULTILIGUAL ARTS AND SCI AT MERVYN M. DYM,California,13,,,25.23,,,62271013079
35,ACAD OF ARTS AND SCIS: EL CAJON MIDDLE AND HIGH (6,California,0.99,,,16.16,,,62610013186
36,ACAD OF ENVIRONMENTAL & SOC POLICY (ESP) AT ROOSEV,California,21.16,16.33,,16.26,20.64,,62271012733
37,ACADEMIA AVANCE CHARTER,California,24,24.5,,19.58,18.33,,69107810895
38,ACADEMIA MODERNA,California,14,10,,25.57,26.3,,62271012455
39,ACADEMIC/VOCATIONAL CHARTER INSTITUTE,California,4,4,,17.75,15.25,,62949008366
40,ACADEMIES OF EDUCATION AND EMPOWERMENT AT CARSON H,California,26.5,,,20.08,,,62271013040
41,ACADEMIES OF THE ANTELOPE VALLEY,California,14.2,,,18.1,,,60282013154
42,ACADEMY FOR ACADEMIC EXCELLENCE,California,62.16,61.75,,21.78,22.19,,60001707296
43,ACADEMY FOR CAREER EDUCATION CHARTER,California,,,,,,,64235008437
44,ACADEMY FOR CHANGE,California,4.4,4,,4.32,7.5,,60837011853
45,ACADEMY FOR ENRICHED SCIENCES,California,10,4.01,,21.6,25.69,,62271013006
46,ACADEMY OF ARTS AND SCIENCES,California,16.1,17.55,,21.12,19.43,,63441012526
47,ACADEMY OF ARTS AND SCIENCES: DEL MAR ELEMENTARY (,California,0.18,,,138.89,,,62610013068
48,ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIG,California,0.99,,,11.11,,,62610013179
49,ACADEMY OF ARTS AND SCIENCES: EL CAJON ELEMENTARY,California,,,,,,,62610013140
50,ACADEMY OF ARTS AND SCIENCES: OXNARD & VENTURA,California,0.18,,,94.44,,,62646013077
51,ACADEMY OF ARTS AND SCIENCES: SONOMA,California,0.13,,,15.38,,,60994013111
52,ACADEMY OF ARTS AND SCIENCES: THOUSAND OAKS & SIMI,California,0.95,,,53.68,,,62646013069
53,ACADEMY OF CAREERS AND EXPLORATION,California,9.75,10,,18.97,21.1,,61686012368
54,ACADEMY OF MEDICAL & HEALTH SCIENCES AT ROOSEVELT,California,26.66,30.03,,16.32,16.05,,62271012783
55,ACADEMY OF MEDICAL ARTS AT CARSON HIGH,California,21,,,24.19,,,62271013104
56,ACADEMY OF PERFORMING ARTS AND FOREIGN LANGUAGE,California,15,15.5,,29.87,29.48,,64104010367
57,ACADEMY OF PERSONALIZED LEARNING,California,23.96,21.75,,20.03,18.57,,61495012533
58,ACADEMY OF SCIENCE AND ENGINEERING,California,5.7,,,26.14,,,62271013044
59,ACADEMY OF TECHNOLOGY & LEADERSHIP AT SATICOY,California,13.3,14.98,,26.47,23.97,,64098006765
60,ACADEMY OF THE CANYONS,California,12.75,12.75,,29.65,30.51,,64251008517
61,ACADEMY OF THE REDWOODS,California,6.4,8.4,,28.75,28.69,,61419010801
62,ACADEMY PERFORMING PRESCHOOL,California,,,,,,,64104013396
63,ACALANES CENTER FOR INDEPENDENT STUDY,California,3.8,6.6,,7.63,7.73,,60165010751
64,ACALANES HIGH,California,67.4,66.6,,20.62,20.81,,60165000032
65,ACCELERATED,California,27,23.5,,28.63,30.17,,62271003245
66,ACCELERATED ACHIEVEMENT ACADEMY,California,7.73,7.66,,21.35,21.8,,64030010552
67,ACCELERATED ACHIEVEMENT ACADEMY,California,3.25,3.31,,28.92,28.1,,61734012565
68,ACCELERATED ELEMENTARY CHARTER,California,10,5,,24.7,33.4,,62271010830
69,ACCESS COUNTY COMMUNITY,California,155.5,151,,26.24,29.31,,69102410567
70,ACCESS JUVENILE HALL,California,72.5,70,,15.46,17.2,,69102409236
71,ACE CHARTER HIGH,California,4,,,24.75,,,61182013023
72,ACE EMPOWER ACADEMY,California,13,13,,35.85,27.62,,69103512198
73,ACHIEVE ACADEMY,California,8.28,8.34,,27.29,29.38,,62805011561
74,ACHIEVE CHARTER SCHOOL OF PARADISE INC.,California,9,9,,23,23.56,,62982011571
75,ACORN WOODLAND ELEMENTARY,California,14,11.01,,19.07,21.44,,62805010730
76,ADA CLEGG ELEMENTARY,California,22,22,,23.77,22.82,,64215012492
