School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2012-13,Agency ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2012-13,County Number [Public School] 2012-13,Race/Ethnicity Category [Public School] 2012-13,ANSI/FIPS State Code [Public School] Latest available year,Years School Reported Data [Public School] Latest available year,Years School Did Not Report Data [Public School] Latest available year,Location City [Public School] 2014-15,Location State Abbr [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location Address 1 [Public School] 2014-15,School Type [Public School] 2012-13,Agency Type [District] 2012-13,Start of Year Status [Public School] 2012-13,Charter School [Public School] 2012-13
A. E. ARNOLD ELEMENTARY,California,CA ,A. E. ARNOLD ELEMENTARY,061044001166,CYPRESS ELEM,0610440,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,CYPRESS,CA ,90630,9281 DENNI ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
A. G. CURRIE MIDDLE,California,CA ,A. G. CURRIE MIDDLE,064015006636,TUSTIN UNF,0640150,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,TUSTIN,CA ,92780,1402 SYCAMORE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
A. J. COOK ELEMENTARY,California,CA ,A. J. COOK ELEMENTARY,061488001834,GARDEN GROVE UNF,0614880,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,GARDEN GROVE,CA ,92844,9802 WOODBURY AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
A. J. DORSA ELEMENTARY,California,CA ,A. J. DORSA ELEMENTARY,060231000103,ALUM ROCK UNION ELEM,0602310,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SAN JOSE,CA ,95122,1290 BAL HARBOR DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
A. L. CONNER ELEMENTARY,California,CA ,A. L. CONNER ELEMENTARY,061970010780,KINGS CANYON JOINT UNF,0619700,FRESNO COUNTY,06019,Reported 7 categories,06,2004-2014,1986-2003,ORANGE COVE,CA ,93646,222 FOURTH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
A. M. THOMAS MIDDLE,California,CA ,A. M. THOMAS MIDDLE,062295007772,LOST HILLS UNION ELEM,0622950,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,LOST HILLS,CA ,93249,20979 LOBOS CT.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
A. M. WINN WALDORF-INSPIRED,California,CA ,A. M. WINN ELEMENTARY,063384005217,SACRAMENTO CITY UNF,0633840,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,SACRAMENTO,CA ,95827,3351 EXPLORER DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABBOTT MIDDLE,California,CA ,ABBOTT MIDDLE,063492005896,SAN MATEO-FOSTER CITY,0634920,SAN MATEO COUNTY,06081,Reported 7 categories,06,1986-2014,,SAN MATEO,CA ,94403,600 36TH AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABBY REINKE ELEMENTARY,California,CA ,ABBY REINKE ELEMENTARY,060002808271,TEMECULA VALLEY UNF,0600028,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1999-2014,1986-1998,TEMECULA,CA ,92592,43799 SUNNY MEADOWS DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABC SECONDARY (ALTERNATIVE),California,CA ,ABC SECONDARY (ALTERNATIVE),060162010232,ABC UNF,0601620,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1991-2014,1986-1990,CERRITOS,CA ,90703,16534 S. CARMENITA RD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN,California,CA ,ABRAHAM LINCOLN,062985004650,PARAMOUNT UNF,0629850,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,PARAMOUNT,CA ,90723,15324 CALIFORNIA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN ALTERNATIVE,California,CA ,ABRAHAM LINCOLN ALTERNATIVE,063762002045,SOUTHERN KERN UNF,0637620,KERN COUNTY,06029,Reported 7 categories,06,1993-2014,1986-1992,ROSAMOND,CA ,93560,3082 GLENDOWER ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN CONTINUATION,California,CA ,ABRAHAM LINCOLN CONTINUATION,063315005148,RIVERSIDE UNF,0633150,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,RIVERSIDE,CA ,92507,4341 VICTORIA AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN ELEMENTARY,California,CA ,ABRAHAM LINCOLN ELEMENTARY,062724000755,NEWPORT-MESA UNF,0627240,ORANGE COUNTY,06059,Reported 7 categories,06,1992-2014,1986-1991,CORONA DEL MAR,CA ,92625,3101 PACIFIC VIEW DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN ELEMENTARY,California,CA ,ABRAHAM LINCOLN ELEMENTARY,063531005993,SANTA ANA UNF,0635310,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,SANTA ANA,CA ,92704,425 S. SULLIVAN,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN ELEMENTARY,California,CA ,ABRAHAM LINCOLN ELEMENTARY,063384005218,SACRAMENTO CITY UNF,0633840,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,SACRAMENTO,CA ,95827,3324 GLENMOOR DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN ELEMENTARY,California,CA ,ABRAHAM LINCOLN ELEMENTARY,061524001937,GLENDALE UNF,0615240,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LA CRESCENTA,CA ,91214,4310 NEW YORK AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN ELEMENTARY,California,CA ,ABRAHAM LINCOLN ELEMENTARY,061029001139,CUPERTINO UNION,0610290,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,CUPERTINO,CA ,95014,21710 MCCLELLAN RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN ELEMENTARY,California,CA ,ABRAHAM LINCOLN ELEMENTARY,060939000951,COLTON JOINT UNF,0609390,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1986-2014,,COLTON,CA ,92324,444 E. OLIVE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN ELEMENTARY,California,CA ,ABRAHAM LINCOLN ELEMENTARY,061111001230,DESERT SANDS UNF,0611110,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,PALM DESERT,CA ,92260,74-100 RUTLEDGE WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ABRAHAM LINCOLN ELEMENTARY,California,CA ,ABRAHAM LINCOLN ELEMENTARY,063581006125,SANTA ROSA ELEM,0635810,SONOMA COUNTY,06097,Reported 7 categories,06,1986-2014,,SANTA ROSA,CA ,95401,850 W. NINTH ST.,1-Regular school,2-Local school district that is a component of a supervisory union,1-Currently operational ,2-No
